district_pt,Count
"PT0169,PT0170,PT0171,PT0172",1916
PT016A,896
"PT016A,PTJCW2P3",126
PT0170,1668
"PT0173,PT0174,PT0175,PT0176",89
PT0180,1478
"PT0181,PT0182,PT0183,PT0184",208
"PT0185,PT0186,PT0187,PT0188",528
"PT0189,PT0190,PT0191,PT0192",424
PT0190,1110
"PT0190,PTJCW3P2",756
"PT0195,PT0196,PT0197,PT194",382
"PT0198,PT0199,PT0200,PT0201",288
PT01MD,4
PT02,1675
PT0200,1991
"PT0201,PT0202,PT0203,PT0204",72
"PT0202,PT0203,PT0204,PT0205",76
PT0210,2570
PT0220,3524
PT022A,658
"PT022A,PTJCW4P4",875
PT0230,1390
PT0240,1824
PT0250,1479
PT025A,142
PT0260,2924
PT026A,662
PT0270,3350
PT0271,276
PT0280,2214
PT0290,1481
PT02MD,1569
PT03,1810
PT0300,1767
"PT0301,PT0302,PT0303,PT0304",78
PT0310,1177
PT0320,2051
PT0350,864
PT0360,895
PT037A,419
PT0380,614
PT039A,1305
PT039B,581
PT03MD,4
PT04,2892
PT0400,612
"PT0401,PT0402,PT0403,PT0404",69
PT0410,550
PT0420,723
PT0430,207
PT0440,98
PT0450,346
PT0460,1350
PT0470,75
PT0480,120
PT0490,1291
PT04MD,1468
PT05,4026
PT0500,268
"PT0501,PT0502,PT0503,PT0504",161
PT0510,281
PT0520,164
PT0530,204
PT0540,174
PT055A,739
PT0560,1162
PT0570,166
PT0580,84
PT0590,262
PT05MD,1759
PT06,1165
"PT0601,PT0602,PT0603,PT0604",25
PT0610,548
PT0620,785
PT0630,490
PT0640,200
PT0650,473
PT0660,185
PT0670,95
PT0690,82
PT06MD,980
PT07,2325
PT0700,134
"PT0701,PT0702,PT0703,PT0704",529
PT07MD,1941
PT08,2195
"PT0801,PT0802,PT0803,PT0804",215
PT08MD,669
PT09,3570
"PT0901,PT0902,PT0903,PT0904",49
PT09MD,2644
PT1,823
PT10,2291
PT100,591
"PT1001,PT1002,PT1003,PT1004",51
PT103,845
PT10MD,1691
PT11,2583
PT110,1335
"PT1101,PT1102,PT1103,PT1104",173
"PT1111,PT1112,PT1113,PT1114",466
PT11A,165
PT11MD,985
PT12,2349
PT120,374
PT120030,987
PT120040,339
PT120070,17
"PT1201,PT1202,PT1203,PT1204",69
PT120110,447
PT12015B,8
PT12A,660
PT12MD,100
PT13,1483
PT130,965
PT130010,2021
PT130020,3467
PT130030,3749
PT130040,491
PT130050,228
"PT1301,PT1302,PT1304,PT1305",38
"PT13A,PTOP1",898
PT13MD,298
PT14,1279
"PT14,PTOP2",1058
PT140,712
PT140010,1175
PT140020,944
PT140030,1003
PT140040,889
"PT1401,PT1402,PT1403,PT1404",9
PT14MD,985
PT15,425
"PT15,PTOP3",647
PT150,493
PT150010,234
PT150020,114
PT150030,247
PT150040,32
PT150050,49
PT150060,184
PT150070,31
PT150080,103
PT150090,26
"PT1501,PT1502,PT1503,PT1504",94
PT15MD,1492
PT16,726
"PT16,PTOP4",1847
PT160,265
"PT1601,PT1602,PT1603,PT1604",31
PT16MD,1388
PT17,841
PT170,114
"PT1701,PT1702,PT1703,PT1704",103
PT17MD,2483
PT18,626
"PT18,PTOP6",678
PT180,61
"PT1801,PT1802,PT1803,PT1804",133
PT18MD,226
PT19,1021
"PT19,PTOP7",1911
PT190,45
"PT1901,PT1902,PT1903,PT1904",342
PT19MD,1364
"PT1WDM,PT1WDW,PT1WRM,PT1WRW",489
PT2,1429
PT20,856
PT200,232
PT200010,781
PT200020,599
PT200030,260
PT200040,1301
PT200050,256
PT200060,133
"PT2001,PT2002,PT2003,PT2004",327
"PT20A,PTOP8",1780
PT20MD,1803
PT21,913
PT210,1947
"PT2101,PT2102,PT2103,PT2104",36
"PT2111,PT2112,PT2113,PT2114",556
PT21MD,373
PT22,923
PT220,842
PT220000,3982
PT220010,649
PT220020,3333
PT220030,2019
PT220040,433
"PT220040,PTJCW1P2",313
PT220050,1314
"PT220050,PTJCW1P2",96
PT220060,134
"PT220060,PTJCW1P3",298
"PT220070,PTJCW1P3",277
PT220080,142
"PT220080,PTJCW1P5",199
PT220090,480
"PT220090,PTJCW1P5",411
PT220100,200
"PT220100,PTJCW1P7",370
PT220110,4
