text_mail_city,Count
Broomfield,4
Brown Deer,1
Brownell,21
Browns Mills,1
Brownsburg,1
Brownsville,2
Brownsville Tx,1
Bruch,1
Brunswick,1
Brush,1
Bryan,4
Bryans Road,1
Buckeye,5
BUCKLEY TWP,1
Bucklin,472
BUCKLIN,2
Buckner,1
Bucyrus,103
Buena Vista,5
Buffalo,68
Buford,3
Buhler,444
Buhler Ks,19
Buies Creek,1
Bull Shoals,1
Bullhead City,1
Bunker Hill,110
Burbank,1
Burden,84
Burdett,45
Burdick,73
Burgaw,1
Burke,2
Burl,1
Burlingame,78
Burlington,228
BURLINGTON,2
Burns,79
Burr Oak,26
Burroak,1
Burrton,275
Busby,1
Bushnell,1
Bushong,1
Bushton,78
Butler,1
Byers,1
Byhalie,1
Byron,9
CABALLO,2
Cabot,1
Cactus,1
Calabasas,1
Calagary,1
Calcium,1
Caldwell,60
Calera,1
Calexico,1
Calhoun,1
California,2
Calumet,1
Cambridge,45
CAMBRIDGE,1
Camby,1
Camden,1
Camdenton,6
Cameron,7
Camp Gieger,1
Camp H.m. Smith,1
Camp Lejeune,4
Camp LeJeune,1
Camp Lejeure,1
Camp Pendleton,3
Camp Verde,1
Campbellsville,1
Campo,1
Canaan,1
Canada,2
Canada V2T 4G5,1
Caney,124
CANEY,1
Cannon Afb,1
Canon City,1
Canton,310
Canyon,6
Canyon Lake,1
Cape Coral,1
Cape Girardeau,3
carbondale,2
Carbondale,239
Carefree,1
Carl Junction,10
Carl Junstion,1
Carlisle,1
Carlsbad,9
Carlton,3
Carmel,3
Carmel Valley,1
Carpentersville,1
CARROLL,1
Carrollton,4
Carson,1
Carthage,4
CARTHAGE,2
Cary,2
Casa Grande,4
Cassaday,1
CASSELTON,2
Cassoday,77
Cassville,2
Castaic,1
Castle Pines,1
Castle Rock,3
Cataula,1
Catharine,14
Catherine,28
Cavalier,1
Cave Creek,1
Cave Springs,3
Cawker City,116
Cedar,7
Cedar City,3
Cedar Falls,4
Cedar Hill,2
Cedar Point,20
Cedar Rapids,3
Cedar Vale,187
Cedarvale,4
Cedarville,7
Centeniall,1
Centennial,7
CENTENNIAL,2
Centereach,1
Centerville,14
Central City,1
Central Point,1
Centralia,126
Chadron,2
Chalmette,1
Chambersburg,1
Chamblee,1
Champaign,5
Chandler,3
CHANDLER,2
Chantilly,1
Chanute,431
Chanute Ks,1
Chanutr,1
Chapaman,1
Chapel Hill,6
Chapman,417
CHAPMAN,1
Chardon,1
Chariton,1
Charleston,9
Charlotte,10
Charlottesville,5
Chase,195
"Chase, Ks",1
Chatham,1
Chatsworth,1
Chattanooga,3
Chautaugua,1
Chautauqua,35
Chelsea,1
CheLSEA,1
Cheney,554
Cher0kee,1
Cheraw,1
Cherokee,129
Cherryale,1
Cherryvale,82
Chesapeake,12
Chester,11
CHESTER,1
Chesterfield,9
Chestertown,1
Chestnut Hill,5
Chetopa,243
Cheyenne,6
Chicago,174
Chickasha,1
Chicopee,2
Chinle,1
Choctaw,1
Chula Vista,7
Cibolo,2
Cicero,2
Cimarron,1523
Cimmaron,1
Cimmarron,1
Cincinnati,6
Circleville,49
City,1
Clackamas,2
Claflin,311
Clalin,1
Claremont,4
Claremore,3
CLAREMORE,1
Clark,1
Clarksville,12
Clay Center,126
CLAY CENTER,1
Clayton,86
Clearfield,1
Clearwater,196
Clemson,2
Cleveland,16
Cleveland Heights,1
Clever,1
Clewiston,1
Clifton,55
ClIFTON PARK,1
Climax,7
Climax Springs,1
Clinton,3
Clive,1
Clouis,1
Clovis,5
CLOVIS,1
Clyde,45
Coabot,1
COATESVILLE,1
Coats,22
Cobb,1
Cobbs Creek,1
Cocnordia,1
Coconut Creek,1
Codell,4
Codorus,2
Coeur D Alene,2
Coffeyville,333
Colby,425
Coldwater,588
COLDWATER,1
College Park,4
College Station,12
Collegedale,2
Collyer,55
Colo Spgs,1
Colombia,1
Colonial Beach,1
Colony,111
Colorado Spgs,2
Colorado Spring,21
Colorado Springs,43
COLORADO SPRINGS,2
Columbia,77
Columbus,275
ColUMBUS,1
colwich,1
Colwich,262
COLWICH,1
Comer,1
Commerce,2
Concordia,181
Conroe,1
Converse,1
Convoy,1
Conway,2
Conway Spgs,1
Conway Springs,279
Cookeville,1
Coolidge,69
COOLIDGE,2
COPAN,1
Copeland,224
Coppell,2
COPR CHRISTI,1
Coral Gables,1
Coral Springs,1
Coralville,3
CORAPEAKE,1
Cordoba,1
Cordova,1
Corning,6
Coronado,5
Corp Christi,1
CORP CHRSTI,1
Corpus Christi,6
Corsicana,1
Corvallis,1
cotonwood falls,1
Cottnwd Falls,1
Cottnwd Fls,3
Cottonwd Fls,1
Cottonwood,1
Cottonwood Fall,16
Cottonwood Falls,157
CoTTONWOOD FALLS,1
Cottonwood Fals,1
Cottonwood Fls,82
Cottonwoodfalls,2
Council Blfs,1
Council Bluffs,7
Council Grove,1343
Courtland,188
Covina,1
Covington,1
COWLES,1
Cozad,1
Cranston,1
crescent,1
Cresskill,1
Crested Butte,1
Crestline,36
Crestview,1
Crete,1
Creve Coeur,2
Creve Couer,1
Crofton,2
Crosslake,1
Crossville,1
Crowley,2
Cuba,109
Culbertson,1
Culleoka,1
Cullison,2
Culver,3
Cumberland,1
Cumming,1
Cummings,12
Cunnigham,2
Cunningham,292
"Cunningham,",1
Cunninghman,1
CURTIS,1
Cuyahoga Falls,1
Cypress,4
D'iberville,1
DADE CITY,1
Dahlgren,1
Dahlonega,2
Dallas,67
Dalton,1
Damar,81
Dana Point,2
Danbury,14
Danville,34
Darien,1
Davenport,5
davidsonville,1
Davis,5
Dawn,1
Dayton,3
DAYTON,1
Daytona Beach,3
De Soto,182
Dearborn,1
Dearing,218
Decatur,10
Decorah,1
Deeerfield,1
Deer Lodge,1
Deerfield,474
DEERFIELD,8
Deforest,1
Dekalb,1
Del Rio,4
DEL RIO,1
Delavan,15
Delaware,2
Delhi,1
Delia,22
Delphos,157
"Delphos, 67436",1
Delray Beach,1
Deltona,1
Dendron,1
Denison,51
Denmark,2
Dennis,30
Denton,42
DENTON,1
Denver,77
Depore,1
Derby,286
DERBY,1
Des Moines,12
Desert Hot Springs,2
DESHLER,1
Desloge,1
Desoto,21
DeSoto,2
Dewey,3
Dexter,120
Dickinson,4
Digh,1
Dighton,802
Dillon,1
Dillwyn,4
Dimmitt,1
Disney,6
Divide,1
Dixon,1
Doddge City,1
Dodg City,1
Dodge,3
Dodge City,727
DODGE CITY,2
Dodge City Ks,1
Dodge Cory,1
Dodge Coty,1
Dolan Springs,1
Doral,4
Dorchester,1
dorrance,1
Dorrance,166
Dothan,1
Douglas,1
Douglass,288
Dover,28
Downingtown,1
Downs,32
DPO,2
Draper,3
Dresden,90
DRESDEN,1
Drexel,7
Dripping Spgs,2
Dripping Springs,1
Du Bois,1
DU BOIS,1
Duarte,1
Dubuque,4
Duenweg,2
Dulles,7
Duluth,3
Dumfries,2
Dumont,5
Duncan,1
Duncanville,1
Dundalk,1
Dundas,1
Dunlap,11
Dunmor,1
Dupont,1
DuPont,1
Durango,2
Durant,1
Durham,41
DURHAM,1
Dwight,212
Dyess Afb,2
Eads,1
Eagle,4
Eagle Butte,1
Eagle Mountain,1
Eagle Rock,1
Earlimart,1
EaRLIMART,1
East Haddam,1
East Haven,1
East Lansing,6
Eastampton,1
Eastborough,2
Easthampton,1
Easton,128
Easton Kansas,1
Eastpointe,1
Eastport,1
Eau Claire,2
Eden Prairie,2
Edgar,1
Edgerton,151
EDINBURG,2
Edmond,42
Edmonds,1
Edna,162
Edson,18
Edwards,5
Edwardsville,777
Effingham,105
Eglin Afb,1
El Cajon,1
El Centro,1
EL CENTRO,1
El Dorado,586
EL Dorado,1
El Dorado Springs,2
"El Dorado,",1
El Mirage,2
El Paso,24
EL PASO,1
El Prado,1
El Reno,1
Elbing,110
Eldmale,1
Eldora,1
Eldorado,12
Elgin,3
Elizabeth,5
Elk City,98
Elk Falls,63
Elk Grove,1
Elk Ridge,1
elkhart,1
Elkhart,1500
Elkhorn,2
Elko,1
Elks,1
Elkwood,2
Ellensburg,1
Ellinwood,99
Ellis,83
Ellsworth,138
Elmdale,28
Elmhurst,1
Elon,2
Elsmore,8
Elwood,426
ELYRIA,1
Emerald Isle,1
Emeryville,1
Emigsville,1
Emmett,100
EMMETT,1
Emmitsburg,1
Emory,1
Emporia,1242
Emporia Ks,1
England,1
Englewood,76
ENGLEWOOD,2
Enid,11
Enloe,1
Ensign,112
Enterprise,225
Erie,94
Erwin,1
Esbon,28
Escondido,4
Eskridge,170
Essex,1
Estero,1
Estes Park,1
Estherville,1
Etna,1
Eudoea,1
Eudora,254
EUDORA,1
Eufaula,1
Eugene,11
Euless,1
Eureka,512
Evans,6
Evans Mills,3
Evanston,17
Evansville,8
Everest,91
Everett,7
Evergreen,3
Evergreen Park,1
Ewa Beach,2
Ewing,1
Ewlood,1
Excelsior,1
Excelsior Springs,1
Fairbank,1
Fairbanks,1
FAIRBANKS,1
Fairborn,1
Fairbury,1
Fairchild Afb,1
Fairfax,8
Fairfield,2
Fairland,2
Fairview,62
Fairviewheights,1
Fairway,9
fall river,1
Fall River,190
FaLL River,1
Fallbrook,5
Fallon,3
Falls Church,4
Falls City,2
Fallston,1
Falmouth,1
Falun,28
Far Hills,1
Far Rockaway,1
Fargo,5
Farlington,2
Farmers Branch,1
Farson,1
Fayettevile,1
Fayetteville,154
FAYETTEVILLE,5
Fayettville,4
Fayetville,1
FCI Leavenworth,1
Federal Heights,1
Federal Hgts,1
Federal Way,4
Felton,1
Fernley,1
Findlay,2
Firestone,1
Firth,1
Fishers,2
Flagstaff,2
Flat Rock,1
Fletcher,1
Florence,23
"Florence, Italy",1
Florissant,4
Florrisant,1
Flower Mound,1
FLW,1
Foley,2
Fond Du Lac,1
Fontana,50
FONTANA,1
Ford,82
Forest Grove,1
Forest Hills,1
Forest Park,1
Forgan,1
Formoso,15
Forney,2
Forsyth,2
Fort Apache,1
Fort Atkinson,1
Fort Belvoir,6
Fort Benning,5
Fort Bliss,3
Fort Bragg,10
Fort Campbell,5
Fort Carson,2
Fort Cavazos,2
Fort Collins,35
Fort Defiance,1
Fort Dodge,9
FORT DODGE,1
Fort Drum,12
Fort Eustis,1
Fort Garland,1
Fort Gordon,1
Fort Gregg-Adams,2
Fort Gregg Adams,1
Fort Hall,1
Fort Hood,8
Fort Huachuca,2
Fort Irwin,7
Fort Johnson,2
Fort Knox,2
Fort Lauderdale,2
Fort Leanard Wood,1
Fort Leavenworth,11
Fort Lee,1
Fort Leonard Wo,1
Fort Leonard Wood,7
Fort Lewis,2
Fort Liberty,5
FORT MEAD,1
Fort Meade,5
Fort Meyers,1
Fort Mitchell,1
Fort Moore,2
Fort Morgan,1
Fort Myers,6
Fort Novosel,1
