cde_res_unit_type,Count
,1801936
Apt,140916
Bldg,200
Box,672
Bsmt,18
Dept,2
Fl,17
Frnt,2
Hngr,2
Lbby,40
Lot,13790
Lowr,4
Ofc,3
Ph,2
Rear,7
Rm,1559
Side,29
Spc,7
Ste,650
Stop,16
Trlr,243
Unit,47459
Uppr,8
