Age,Count
18,2300
19,14424
20,24780
21,28129
22,31716
23,32722
24,34508
25,34861
26,35955
27,35019
28,35734
29,34222
30,34308
31,34150
32,34201
33,33785
34,34314
35,34027
36,35043
37,34208
38,33720
39,33028
40,33543
41,33928
42,33696
43,33140
44,33865
45,33321
46,33346
47,31624
48,29851
49,29881
50,28528
51,27822
52,27769
53,26774
54,27364
55,28933
56,30667
57,29551
58,28312
59,27287
60,28057
61,28896
62,31130
63,32385
64,32888
65,33215
66,33356
67,32831
68,31775
69,31952
70,31332
71,30035
72,29565
73,27943
74,27070
75,25541
76,23261
77,22379
78,21115
79,20906
80,18512
81,13925
82,13482
83,13024
84,11915
85,10145
86,8713
87,7664
88,7032
89,6097
90,5312
91,4349
92,3822
93,3048
94,2559
95,2064
96,1617
97,1188
98,933
99,715
100,398
101,328
102,207
103,148
104,104
105,84
106,42
107,44
108,19
109,14
110,11
111,9
112,6
113,10
114,9
115,6
116,4
117,2
118,5
119,2
120,1
121,1
122,1
124,1
125,2
126,10
127,6
135,1
226,3
