cde_street_type,Count
,286035
Aly,51
Anx,26
Ave,207461
Blf,19
Blvd,13996
Bnd,190
Br,14
Byp,47
Cir,43899
Crk,66
Ct,89407
Ctr,9
Cv,276
Dl,3
Dr,182139
Est,75
Gln,44
Grv,8
Hl,3
Hts,157
Hvn,13
Hwy,5809
Ln,70800
Lndg,154
Loop,786
Mdws,18
Mnr,80
Mt,24
Park,460
Pass,193
Path,11
Pkwy,5980
Pl,30040
Plz,356
Prt,2
Pt,187
Rd,240723
Rdg,205
Rnch,16
Row,13
Run,173
Spur,21
Sq,274
St,712316
Ter,17781
Terr,89405
Trl,2731
Trwy,41
Un,1
Vlg,210
Vly,15
Vw,12
Way,4807
