BirthYear,Count
1801,3
1891,1
1900,7
1901,11
1902,1
1904,1
1905,1
1906,1
1907,2
1908,5
1909,2
1910,4
1911,5
1912,7
1913,10
1914,9
1915,7
1916,11
1917,15
1918,17
1919,44
1920,41
1921,74
1922,105
1923,146
1924,200
1925,315
1926,394
1927,675
1928,907
1929,1173
1930,1548
1931,2035
1932,2530
1933,2988
1934,3727
1935,4348
1936,5227
1937,5958
1938,6969
1939,7601
1940,8580
1941,10029
1942,11693
1943,12983
1944,13436
1945,14002
1946,17699
1947,21055
1948,21070
1949,22352
1950,23060
1951,25413
1952,26934
1953,27858
1954,29390
1955,29998
1956,31336
1957,31856
1958,31732
1959,32917
1960,33166
1961,33264
1962,32979
1963,32508
1964,31152
1965,29203
1966,27999
1967,27365
1968,28017
1969,29602
1970,30533
1971,29144
1972,27469
1973,26825
1974,27691
1975,27739
1976,28501
1977,29819
1978,29670
1979,31532
1980,33257
1981,33384
1982,33829
1983,33278
1984,33695
1985,33799
1986,33600
1987,32973
1988,33707
1989,34092
1990,35144
1991,34104
1992,34290
1993,33764
1994,34221
1995,34104
1996,34347
1997,34130
1998,35732
1999,34843
2000,35890
2001,35163
2002,34577
2003,32889
2004,31916
2005,28322
2006,25737
2007,14790
2008,3309
