district_cc,Count
 ,270
CC0001,103953
CC0002,102376
CC0003,102754
CC0004,15981
CC0005,13532
CC001,31267
CC002,24480
CC003,32039
CC004,16130
CC005,16113
CC01,62669
"CC01,CC03",543
CC02,59297
"CC02,CC03",302
CC03,57926
CC04,27870
CC05,31376
CC1,287100
CC2,260281
CC3,283064
CC4,175351
CC5,179398
CC6,80112
CC7,14270
CC8,12291
CCCK1,5357
CCCK2,4992
CCCK3,5328
CCWA1,460
CCWA2,327
CCWA3,373
