AgeInterval,Count
18-19,16724
20-24,151855
25-29,175791
30-34,170758
35-39,170026
40-44,168172
45-49,158023
50-54,138257
55-59,144750
60-64,153356
65-69,163129
70-74,145945
75-79,113202
80-84,70858
85+,66736
