text_election_code_9,Count
,1166302
12897,5
22503,4
22895,2
3204,1
4103,31
4197,3
4202,1
4291,2
4296,6
4301,9
4495,3
4505,35
4604,2
4693,2
4699,3
4792,3
51804,19
8791,1
CG,740
CG 201,1
CG0003,23
CG0004,12
CG0005,37
CG0007,35
CG0008,16
CG0009,52
CG0010,242
CG0011,112
CG005,20
CG0104,15
CG012,4
CG0304,37
CG033,23
CG0404,2
CG0406,1
CG0408,18
CG0410,2
CG0413,7
CG042,2
CG0489,3
CG0495,3
CG0497,5
CG0504,111
CG052,2
CG06,9
CG08,1
CG10,1
CG1019,6
CG1030,3
CG1068,1
CG11,43
CG1179,5
CG12,33
CG1289,1
CG13,45
CG1319,1
CG14,93
CG15,139
CG1520,11
CG16,25
CG19,163
CG1976,1
CG1985,1
CG1987,1
CG1989,8
CG1990,2
CG1991,27
CG1993,96
CG1994,25
CG1995,107
CG1996,9
CG1997,173
CG1998,21
CG1999,172
CG20,1
CG2000,16
CG2001,379
CG2002,13
CG2003,721
CG2004,85
CG2005,3064
CG2006,86
CG2007,2121
CG2008,136
CG2009,2728
CG2010,227
CG2011,3271
CG2012,272
CG2013,4205
CG2014,355
CG2015,8206
CG2016,196
CG2017,18324
CG2019,41874
CG2021,32281
CG21,160
CG21A,52
CG2209,4
CG2250,52
CG2259,14
CG2260,2
CG2268,1
CG2269,8
CG2270,24
CG2279,3
CG2288,5
CG2289,25
CG2290,1
CG2299,4
CG2398,1
CG3105,47
CG3188,2
CG3204,17
CG3209,1
CG3210,4
CG3293,14
CG3299,47
CG334C,1
CG3387,3
CG3398,3
CG400,1
CG401,7
CG403,13
CG404,4
CG405,67
CG4103,321
CG4119,3
CG4197,140
CG4202,14
CG4285,2
CG4290,2
CG4291,25
CG4296,17
CG4301,207
CG4390,1
CG44,1
CG4400,65
CG4489,18
CG4495,74
CG4505,1291
CG4594,7
CG4604,24
CG4693,53
CG4699,156
CG4781,1
CG4787,10
CG4792,22
CG4798,16
CG48,27
CG496,8
CG497,6
CG498,2
CG499,10
CG510,17
CG5229,4
CG5404,4
CG5702,1
CG5704,19
CG604,1
CG6139,6
CG6219,3
CG6229,1
CG6290,6
CG6491,1
CG6496,2
CG6705,18
CG6992,1
CG7139,5
CG7189,3
CG8288,1
CG8299,2
CG8597,1
CG8895,2
CG9104,6
CG9149,1
CG9198,1
CG9304,10
CG9404,1
CG9504,6
CG956,18
CG9604,1
CG964,5
CG9702,4
CG9704,37
CG973,18
CG985,8
CG9904,12
CG993,15
CGAP,98
CGCE06,5
CGCG,16
CGCG10,8
CGFR,4
CGHB06,5
CGHE08,1
CGNE,11
CGS,34
CGS06,17
CGST08,1
CP,5
CP0002,17
CP0004,3
CP0005,21
CP0006,5
CP0007,3
CP0008,36
CP0009,28
CP0010,92
CP0102,10
CP0302,10
CP0408,20
CP07,15
CP09,5
CP15,11
CP17,18
CP1982,1
CP1987,2
CP1989,5
CP1990,1
CP1991,9
CP1992,1
CP1993,21
CP1994,1
CP1995,31
CP1996,1
CP1997,60
CP1998,4
CP1999,32
CP2000,4
CP2001,72
CP2003,296
CP2004,3
CP2005,287
CP2006,30
CP2007,462
CP2008,12
CP2009,208
CP201,2
CP2010,53
CP2011,295
CP2012,29
CP2013,282
CP2014,5
CP2015,799
CP2016,14
CP2017,2064
CP2019,4119
CP2021,12306
CP2023,1573
CP203,3
CP2250,2
CP287,4
CP296,2
CP304,1
CP305,6
CP399,2
CP9102,2
CP9204,2
CP9303,1
CP9702,5
CP9903,1
CPCH07,2
CPFR10,2
CPG 21,3
CPHE06,1
CPMN06,3
CPMN08,3
CPNC15,12
CPST08,1
GN1129,4
GN1149,14
GN1160,37
GN1180,26
GN1982,2
GN1984,28
GN1986,87
GN1988,284
GN1990,299
GN1992,1907
GN1994,1059
GN1996,4309
GN1998,2094
GN2000,8794
GN2002,5404
GN2004,20399
GN2006,12286
GN2007,1
GN2008,37879
GN2010,25740
GN2012,53186
GN2014,48533
GN2016,76458
GN2018,76534
GN2020,61761
GN2022,7671
GN4197,15
GN4202,6
GN4291,1
GN4296,1
GN4301,37
GN4495,15
GN4693,3
