precinct_part_text_designation,Count
00,5
01,1331077
011,160
015,32
01A,63
01b,74
01L,29
02,234412
021,138
025,16
02L,1
03,74411
031,99
03L,2
04,35075
05,11254
06,5808
07,2514
08,1364
09,665
1,98702
1-4,157
10,43519
103,8
11,2337
12,1220
13,593
14,299
15,1080
16,628
17,283
18,402
19,17
1a,21
2,22686
2-1,68
2-5,393
20,12014
21,1322
22,1098
23,729
24,28
26,172
28,66
3,16319
3-6,216
30,3086
306,6
32,602
33,384
34,378
35,156
36,674
37,125
38,338
3a,3
4,12358
40,1452
400,3027
401,16
402,263
411,107
418,10203
419,1227
423,1865
444,234
448,1725
460,21
5,60769
5-1,1517
5-2,2
50,332
6,509
60,931
6a,1
7,131
70,663
7a,70
8,29
9,16
FE5,6
FEF,238
MN1,234
MN2,111
MN3,68
MN4,127
SC1,155
SC2,51
SC3,734
SC4,549
SC5,513
