district_jd,Count
,678630
JD0001,68860
JD0002,47581
JD0004,43015
JD0005,22474
JD0006,46678
JD0007,79969
JD0008,44872
JD0009,42476
JD0011,57225
JD0012,21356
JD0013,56528
JD0014,23630
JD0015,18014
JD0016,27596
JD0017,16696
JD0018,345277
JD0019,20565
JD0020,34711
JD0021,45947
JD0022,26369
JD0023,28007
JD0024,11971
JD0025,29946
JD0026,23723
JD0027,43007
JD0028,41531
JD0029,87
JD0030,33578
JD0031,27263
