text_election_code_7,Count
PR2010,2880
PR2012,4080
PR2014,4022
PR2016,11443
PR2018,33929
PR2020,73825
PR2022,74703
PR2250,31
PR2259,5
PR2270,3
PR2289,4
PR3105,18
PR320,2
PR3204,2
PR3293,3
PR3299,8
PR3398,3
PR8200,1
PR8229,3
PR8288,14
PR8784,1
PR955,3
PR971,2
PR991,6
PRHC06,4
SP,123
SP'16,3
SP 389,138
SP#447,1
SP000,24
SP0001,1
SP0002,1
SP0003,4
SP0004,10
SP0006,12
SP0007,32
SP001,35
SP0012,20
SP0014,2
SP002,12
SP003,1
SP0041,3
SP0051,1
SP01,15
SP0101,14
SP0103,13
SP0105,1
SP011,18
SP0111,9
SP0112,169
SP012,7
SP0121,3
SP0125,289
SP013,5
SP015,5
SP0197,2
SP0202,7
SP021,33
SP0217,6
SP0218,84
SP0219,4
SP0222,10
SP0223,30
SP024,1
SP0291,4
SP0293,2
SP0296,1
SP0297,3
SP0299,7
SP0301,20
SP0302,72
SP0304,4
SP0305,7
SP0306,3
SP031,4
SP0310,4
SP0316,20
SP0319,31
SP033,156
SP034,17
SP0388,13
SP0394,1
SP0395,1
SP0399,3
SP0400,2
SP0402,1
SP0403,6
SP0405,42
SP0406,13
SP0408,11
SP041,4
SP0410,57
SP0417,47
SP0419,235
SP0421,104
SP0423,3
SP0425,1
SP043,129
SP0489,78
SP0493,133
SP0495,4
SP0497,1
SP0499,1
SP0500,1
SP0503,8
SP0505,31
SP051,232
SP0510,74
SP0512,11
SP0514,1
SP0516,1
SP0517,99
SP052,18
SP0523,485
SP053,6
SP054,41
SP057,57
SP059,1
SP0599,10
SP06,14
SP0601,1
SP0606,26
SP0607,147
SP0609,5
SP0614,25
SP0616,30
SP0623,1
SP0688,1
SP0693,7
SP0699,2
SP0709,7
SP0711,7
SP0717,16
SP0718,15
SP0792,2
SP0798,1
SP08,7
SP0801,36
SP0802,7
SP0805,19
SP0812,2
SP0813,1
SP0815,54
SP0819,267
SP0820,116
SP0821,90
SP0822,193
SP0830,57
SP09,1
SP0901,46
SP0904,2
SP0905,5
SP0906,3
SP0997,4
SP09EL,15
SP1,6
SP10,10
SP100,1
SP1009,16
SP101,7
SP1010,1
SP1013,1
SP1014,71
SP1017,6
SP1018,15
SP1019,1
SP1020,47
SP1022,227
SP1023,3
SP1027,3
SP1031,4
SP105,56
SP1059,2
SP1070,18
SP1079,6
SP1090,2
SP11,2
SP1103,3
SP1105,13
SP1107,1
SP1112,8
SP1113,18
SP1115,55
SP1116,2
SP1123,1
SP1129,11
SP114,55
SP1140,3
SP1149,14
SP1159,3
SP1160,7
SP1179,3
SP1193,1
SP1205,2
SP1209,4
SP1210,29
SP1213,2
SP1214,7
SP1215,9
SP1218,12
SP1219,1
SP1250,1
SP1258,1
SP1270,3
SP1289,10
SP1293,1
SP1295,1
SP1298,3
SP1299,1
SP1300,6
SP1319,13
SP14,27
SP1401,5
SP14MU,2
SP1609,2
SP1694,5
SP1697,1
SP17,3
SP1794,1
SP19,67
SP1988,1
SP1993,5
SP1995,1
SP1997,3
SP1998,1
SP1999,7
SP2000,31
SP2001,19
SP2002,33
SP2003,16
SP2004,16
SP2005,29
SP2006,28
SP2007,1272
SP2008,46
SP2009,208
SP201,14
SP2010,39
SP2011,37
SP2012,250
SP2013,327
SP2014,352
SP2015,273
SP2016,260
SP2017,435
SP2018,386
SP2019,1185
SP2020,213
SP2021,579
SP2022,502
SP2023,177
SP203,9
SP206,4
SP2103,8
SP2104,10
SP2179,2
SP2196,1
SP2197,2
SP220,36
SP2201,101
SP2249,6
SP2260,5
SP2263,10
SP2289,1
SP2295,1
SP2299,3
SP22MN,54
SP2396,11
SP2398,1
SP2406,5
SP244,6
SP2495,1
SP2498,1
SP2503,6
SP2505,2
SP251,53
SP252,46
SP257B,199
SP258,85
SP264,3
SP2690,1
SP269R,1
SP270,3
SP2701,2
SP282,9
SP284B,1
SP289,7
SP2894,2
SP2997,1
SP3,1
SP306,26
SP309,17
SP312,45
SP3139,2
SP320,1
SP3260,1
SP331,4
SP3319,3
SP3353,17
SP3357,30
SP336,57
SP34,5
SP344,20
SP346,2
SP35,5
SP350,2
SP360,21
SP363,11
SP371,62
SP381,5
SP385,147
SP388,4
SP3882,29
SP3895,2
SP39,2
SP396,44
SP3984,1
SP40,3
SP405,22
SP406,8
SP4103,25
SP4159,1
SP4179,1
SP418R,326
SP4197,10
SP420,34
SP4202,3
SP421,45
SP4219,9
SP4230,4
