precinct,Count
AL|Bassett City|1B,21
AL|Carlyle Twp|A1,237
AL|Cottage Grove Twp|A2,165
AL|Deer Creek Twp|A3,87
AL|East Elm Twp|A4,143
AL|Elsmore City|2E,44
AL|Gas City|3G,346
AL|Geneva Twp|A6,103
AL|Humboldt City|4H,1294
AL|Humboldt Twp|A7,219
AL|Iola City|5I,3641
AL|LaHarpe City|6L,309
AL|Logan Twp|A9,156
AL|Marmaton Twp|B1,206
AL|Moran City|8M,300
AL|North Elsmore Twp|A5,96
AL|North Iola Twp|A8,196
AL|Osage Twp|B2,196
AL|Salem Twp|B3,184
AL|Savonburg City|9S,58
AL|South Elsmore Twp|C5,58
AL|South Iola Twp|C8,412
AL|West Elm Twp|C4,415
AN|Colony City|1101,285
AN|Garnett City Prec. 1|2201,848
AN|Garnett City Prec. 2|2202,718
AN|Garnett City Prec. 3|2203,650
AN|Garnett City Prec. 4|2204,202
AN|Greeley City|3301,201
AN|Indian Creek Twp|IN800,101
AN|Jackson Twp|JA900,348
AN|Kincaid City|5501,100
AN|Lincoln Twp|LIA00,163
AN|Lone Elm City|6601,15
AN|Lone Elm Twp|LO602,171
AN|Monroe Twp|MOB00,269
AN|Ozark Twp|OZ102,134
AN|Putnam Twp|PUD00,239
AN|Reeder Twp|RE402,211
AN|Rich Twp|RI502,199
AN|Walker Twp|WA302,290
AN|Washington Twp|WSF00,225
AN|Welda Twp|WEG00,216
AN|Westphalia City|7701,90
AN|Westphalia Twp|WT702,138
AT|Benton 2|A1,177
AT|Benton|A1063,165
AT|Center|A2,439
AT|East Second|120003,470
AT|East Third|130003,939
AT|Effingham City|2,344
AT|Grasshopper|A3,281
AT|Huron City|3,46
AT|Huron|A500009,125
AT|Kapioma|A4,188
AT|Lancaster City|4,197
AT|Lancaster|A50001,247
AT|Mt. Pleasant|A6,698
AT|Muscotah City|5,112
AT|North Fifth|150001,1128
AT|Only First|11,528
AT|Only Fourth|14,772
AT|Shannon|A7,994
AT|South Fifth|150002,666
AT|Walnut Enclave|A800011,5
AT|Walnut|A8,336
AT|West Second|120004,746
AT|West Third|130004,1502
BA|Aetna Township Prct1|001,6
BA|Deerhead Township Prct2|002,11
BA|Eagle Township Prct 3|003,21
BA|Elm Mills Township Prct4|004,87
BA|Elwood Township Prct5|005,132
BA|Hazelton Township Prct6|006,88
BA|Kiowa East Townshp Prct7|007,392
BA|Kiowa West Townshp Prct8|008,250
BA|Lake City Township Prct9|009,56
BA|Mcadoo Township Prct10|010,18
BA|Med Lodge Five Prct15|015,44
BA|Med Lodge Four Prct14|014,171
BA|Med Lodge One Prct11|011,434
BA|Med Lodge Three Prct13|013,270
BA|Med Lodge Two Prct12|012,368
BA|Mingona Township Prct16|016,63
BA|Moore Township Prct17|017,47
BA|Sharon Township Prct20|020,232
BA|Sun City Township Prct21|021,41
BA|Turkey Creek Twp Prct22|022,11
BA|Valley Township Prct23|023,98
BB|1st Ward Exclave Colonial|FS01B,15
BB|1st Ward Exclave Halls|FS01C,22
BB|Bronson City|BRW000,192
BB|Drywood Township|DR0000,319
BB|East Marion Township|MAE000,335
BB|Fort Scott 1st Ward|FS01,966
BB|Fort Scott 2nd Ward|FS02,915
BB|Fort Scott 3rd Ward|FS03,399
BB|Fort Scott 4th Ward|FS04,801
BB|Fort Scott 5th Ward|FS05,825
BB|Fort Scott 6th Ward|FS06,2078
BB|Fort Scott 7th Ward|FS07,1054
BB|Franklin Township|FR0000,253
BB|FREEDOM D1|FE0001,238
BB|FREEDOM D5|FE0005,6
BB|Fulton City|FU0000,118
BB|Mapleton City|MP0000,79
BB|MARMATON D2|MN0002,413
BB|MARMATON D4|MN0004,127
BB|Millcreek Township|MC0000,410
BB|Osage Township|OS0000,295
BB|Pawnee Township|PA0000,279
BB|Redfield City|RE0000,88
BB|SCOTT D1|SCOT001,155
BB|SCOTT D2|SCOT002,51
BB|SCOTT D3|SCOT003,734
BB|SCOTT D4|SCOT004,549
BB|SCOTT D5|SCOT005,513
BB|Timberhill Township|TH0000,112
BB|Uniontown City|UNE000,208
BB|Walnut Township|WA0000,83
BB|West Marion Township|MAW000,74
BR|Everest City|7E0018,196
BR|Fairview City|5F0016,171
BR|Hamlin City|9H001D,26
"BR|Hamlin Twp, Hamlin|HA002D",101
"BR|Hamlin Twp, Reserve|HA0024",68
BR|Hiawatha - Ward 1|1H0011,342
BR|Hiawatha - Ward 2|1H0021,930
BR|Hiawatha - Ward 3|1H0031,771
BR|Hiawatha - Ward 4|1H0041,156
BR|Hiawatha Twp|HI000C,450
BR|Horton - Ward 1|2H0012,445
BR|Horton - Ward 2|2H0022,361
BR|Horton - Ward 3|2H0032,252
BR|Irving Twp|IR000B,227
BR|Mission Twp|MI0029,393
BR|Morrill City|4M0015,136
