text_election_code_1,Count
,303606
12897,4
4103,19
4197,4
4296,2
4301,6
4495,1
4505,8
4693,4
4699,7
51804,7
CG,51
CG0003,3
CG0004,2
CG0005,5
CG0007,6
CG0008,2
CG0009,9
CG0010,51
CG0011,17
CG0023,6
CG005,8
CG0104,12
CG012,4
CG0304,11
CG033,2
CG0404,1
CG0408,3
CG0410,1
CG0413,1
CG0504,44
CG052,1
CG06,4
CG08,1
CG10,1
CG1019,3
CG1029,1
CG1030,3
CG11,9
CG1123,32
CG1179,2
CG12,3
CG13,11
CG14,20
CG15,37
CG1520,1
CG19,3
CG1989,1
CG1993,31
CG1994,4
CG1995,28
CG1996,1
CG1997,47
CG1998,1
CG1999,46
CG2000,1
CG2001,100
CG2003,160
CG2004,4
CG2005,723
CG2006,25
CG2007,443
CG2008,11
CG2009,660
CG2010,72
CG2011,647
CG2012,28
CG2013,747
CG2014,45
CG2015,949
CG2016,9
CG2017,1287
CG2019,1786
CG2021,3747
CG2023,7969
CG2025,326661
CG21,122
CG21A,22
CG2209,1
CG2250,5
CG2259,3
CG2269,1
CG2270,7
CG2288,2
CG2289,4
CG23,134
CG25,7059
CG294B,25
CG3105,12
CG3204,2
CG3210,2
CG3293,1
CG3299,6
CG403,1
CG405,9
CG4103,115
CG4197,57
CG4202,7
CG4291,7
CG4296,4
CG4301,72
CG44,3
CG4400,11
CG4406,2
CG4489,3
CG4495,19
CG4505,381
CG4604,6
CG4693,14
CG4699,57
CG4792,1
CG4798,4
CG48,4
CG497,1
CG499,1
CG510,7
CG5404,2
CG5704,4
CG5923,4
CG604,1
CG6139,1
CG6491,2
CG6496,1
CG6705,8
CG7139,1
CG7189,3
CG8299,2
CG8597,1
CG9149,3
CG9304,2
CG9504,1
CG956,6
CG964,5
CG9704,7
CG973,1
CG9804,1
CG985,3
CG9904,3
CG993,13
CGAP,5
CGCE06,1
CGCG,7
CGCG10,2
CGDR25,20
CGFR,1
CGHB06,2
CGNE,3
CGS,5
CGS06,7
CGSG,3
CP 23,10
CP0005,3
CP0007,1
CP0008,4
CP0010,14
CP0408,1
CP09,1
CP15,1
CP17,4
CP1993,4
CP1995,4
CP1997,10
CP1999,7
CP2000,3
CP2001,7
CP2003,37
CP2005,26
CP2006,5
CP2007,57
CP2008,1
CP2009,28
CP201,1
CP2010,7
CP2011,52
CP2013,56
CP2014,2
CP2015,66
CP2017,133
CP2019,148
CP2021,372
CP2023,623
CP2025,4663
CP23,2
CP25,160
CP381,3
CP8525,19
CPG 21,9
CPMN06,1
CPNC15,1
CPST08,1
GN1129,1
GN1149,4
GN1160,15
GN1180,10
GN1980,1
GN1984,2
GN1986,13
GN1988,46
GN1990,20
GN1992,1124
GN1994,333
GN1996,1569
GN1998,612
GN2000,3044
GN2002,943
GN2004,6539
GN2006,1516
GN2008,14686
GN2010,3232
GN2012,16969
GN2014,4941
GN2016,28459
GN2018,18506
GN2020,108638
GN2022,51297
GN2024,863793
GN4197,14
GN4301,12
GN4495,4
GN4693,4
GN4699,13
MB#383,77
MB/SP,5
MB0108,56
MB0110,8
MB0112,85
MB0114,1
MB0115,100
MB0116,183
MB0120,173
MB0121,1404
MB0123,778
MB0211,8
MB0215,7
MB0216,28
MB0219,1
MB0225,615
MB0315,24
MB0320,10
MB0322,543
MB0326,32351
MB0412,324
MB0414,133
MB0416,2
MB0423,735
MB0424,322
MB0425,6549
MB0506,25
MB0508,20
MB0513,7
MB0516,45
MB0517,136
MB0518,274
MB0519,314
MB0525,2295
MB0607,13
MB0611,18
MB0613,124
MB0615,46
MB0616,142
MB0618,147
MB0619,88
MB0622,24
MB0623,1386
MB0711,6
MB0719,18
MB0807,2
MB0823,316
MB0830,15
MB0907,19
MB0915,11
MB0916,38
MB0917,32
MB0918,182
MB0919,319
MB0921,21
MB0922,46
MB1007,52
MB1013,154
MB1107,25
MB1109,2
MB1113,127
MB112,1
MB1205,169
MB1211,10
MB1213,7
MB1301,18
MB1302,55
MB1501,37
MB15B,4
MB1601,11
MB17,118
MB1701,57
MB17LA,69
MB1901,110
MB1995,5
MB2000,2
MB2005,16
MB2006,37
MB2007,70
MB2008,34
MB2009,164
MB2010,32
MB2011,8
MB2012,31
MB2013,228
MB2014,242
MB2015,621
MB2016,247
MB2017,169
MB2018,106
MB2019,311
MB2020,244
MB2022,448
MB2023,1
MB2024,499
MB2026,9766
MB229,144
MB231,25
MB232,37
MB233,107
MB242,3
MB25GE,83
MB25SH,550
MB263,16
MB274,1
MB293,2
MB305,250
MB3408,27
MB360,11
MB368,41
MB383,2
MB394,29
MB396,8
MB402,74
MB415,1
MB416,21
MB437,55
MB4604,2
MB464,29
MB468,2
MB490,66
MB501,199
MB509,3
