district_kr,Count
KR0001,18739
KR0002,17343
KR0003,16160
KR0004,19791
KR0005,17895
KR0006,17731
KR0007,16045
KR0008,17576
KR0009,16889
KR0010,14497
KR0011,15418
KR0012,16832
KR0013,15400
KR0014,19958
KR0015,12161
KR0016,18288
KR0017,18623
KR0018,17861
KR0019,20438
KR0020,20505
KR0021,19208
KR0022,16453
KR0023,16163
KR0024,17000
KR0025,20208
KR0026,20606
KR0027,21154
KR0028,17915
KR0029,17733
KR0030,16744
KR0031,12626
KR0032,8892
KR0033,15814
KR0034,11109
KR0035,12995
KR0036,17141
KR0037,13124
KR0038,19358
KR0039,17942
KR0040,16413
KR0041,12745
KR0042,17679
KR0043,15941
KR0044,17152
KR0045,18418
KR0046,11715
KR0047,17631
KR0048,17553
KR0049,17622
KR0050,17284
KR0051,17100
KR0052,17882
KR0053,15589
KR0054,16845
KR0055,13968
KR0056,16028
KR0057,12148
KR0058,12938
KR0059,16874
KR0060,14087
KR0061,15962
KR0062,16497
KR0063,16119
KR0064,14073
KR0065,12832
KR0066,10681
KR0067,16522
KR0068,12413
KR0069,15901
KR0070,17023
KR0071,17732
KR0072,15763
KR0073,15260
KR0074,15330
KR0075,16377
KR0076,17100
KR0077,18134
KR0078,17228
KR0079,15400
KR0080,14206
KR0081,13734
KR0082,16685
KR0083,13625
KR0084,14194
KR0085,18936
KR0086,13059
KR0087,17466
KR0088,16087
KR0089,15215
KR0090,18391
KR0091,18949
KR0092,14980
KR0093,16742
KR0094,17154
KR0095,12761
KR0096,12197
KR0097,15170
KR0098,13361
KR0099,19038
KR0100,17641
KR0101,18287
KR0102,15056
KR0103,10386
KR0104,17654
KR0105,15358
KR0106,16632
KR0107,16195
KR0108,18227
KR0109,15953
KR0110,16758
KR0111,16644
KR0112,14983
KR0113,16377
KR0114,16550
KR0115,15410
KR0116,15955
KR0117,20142
KR0118,16235
KR0119,10367
KR0120,16298
KR0121,17127
KR0122,12205
KR0123,12906
KR0124,13735
KR0125,12257
