polling_place_text_zip5,Count
,16155
66002,8784
66006,6694
66007,9836
66010,344
66012,5311
66013,3780
66014,345
66015,520
66016,439
66017,571
66018,5890
66020,3076
66021,1998
66023,686
66024,731
66025,5526
66026,444
66030,11189
66031,6486
66032,3035
66033,730
66035,765
66036,1131
66039,485
66040,2902
66041,615
66042,478
66043,8277
66044,16492
66046,13274
66047,10909
66048,24070
66049,26112
66050,1266
66052,3603
66053,6444
66054,1337
66056,1684
66058,581
66060,619
66061,45936
66062,60048
66064,4263
66066,1520
66067,12331
66070,1973
66071,10003
66072,715
66073,1868
66075,1446
66076,1343
66078,601
66079,623
66080,564
66083,9909
66085,8068
66086,8893
66087,1284
66088,1324
66090,1503
66091,604
66092,2305
66093,439
66094,160
66095,934
66097,841
66101,2991
66102,14653
66103,5697
66104,13876
66105,3372
66106,14706
66109,15930
66111,3116
66112,13461
66202,19455
66203,14599
66204,11243
66205,9849
66206,4432
66207,18542
66208,13656
66209,5727
66210,15993
66211,6324
66212,29796
66213,20497
66214,4868
66215,16687
66216,12837
66217,7672
66218,7746
66219,18483
66221,15871
66223,18385
66224,21909
66226,13167
66227,11439
66402,2400
66403,590
66404,482
66406,320
66408,570
66409,1624
66411,1421
66413,1485
66414,1827
66415,511
66416,381
66417,406
66418,492
66419,436
66420,828
66425,1269
66427,1042
66428,283
66429,1043
66431,419
66434,3040
66436,3432
66439,1815
66440,1688
66441,17613
66449,554
66451,1801
66501,260
66502,28849
66503,9624
66507,880
66508,3668
66509,1727
66510,1211
66512,2762
66514,1223
66516,255
66517,3161
66520,677
66521,1300
66523,2761
66524,3008
66526,761
66531,847
66532,506
66533,1260
66534,2452
66535,3337
66536,3066
66537,829
66538,2359
66539,2695
66540,391
66541,251
66542,2450
66546,738
66547,5265
66549,1283
66550,366
66552,354
66554,917
66603,1449
66604,15489
66605,15043
66606,7262
66607,2575
66608,3842
66609,1471
66610,2696
66611,7896
66612,2308
66614,19598
66615,4890
66616,3277
66617,6481
66618,5875
66619,1708
66621,1250
66701,9396
66710,1074
66711,325
66712,3035
66713,3606
66720,7320
66724,808
66725,4325
