polling_place_text_address2,Count
,1948567
1000 W Patterson,3774
1715 210 Road,1870
228 Main,1827
301 N. Main St.,1350
309 Lake Ave.,6644
331 Main St,712
403 S Pesavento Ave,1326
520 Washington St.,116
530 SW Tuffy Kellogg Dr,1483
616 2nd Street,845
"Altamont, KS 67330",1088
"Chanute, KS 66720",4876
"Chetopa, Ks 67336",1180
East Door,318
"Edna, KS 67342",974
EMS Building,1570
Fellowship Hall,3899
Fellowship Room,1815
Fire Building,317
Harveyville,419
Maple Hill,880
McFarland,260
"Mound Valley, KS 67354",1020
Ness City,1935
NEW POLLING LOCATION!!,3127
North Entrance,2363
"Oswego, KS 67356",1426
"Parsons, KS 67357",7989
Paxico,761
Photo ID required when voting,449
PO Box 446,1520
South Main Doors,882
