text_election_code_5,Count
,898985
11691,1
12897,2
22503,2
22895,1
4103,17
4202,1
4291,2
4296,7
4301,5
4489,1
4495,5
4505,23
4604,2
4693,3
4699,4
4792,2
51804,11
8791,1
CG,273
CG 201,1
CG0003,13
CG0004,4
CG0005,14
CG0007,21
CG0008,6
CG0009,24
CG0010,155
CG0011,75
CG0023,53
CG005,10
CG0104,16
CG012,8
CG021,1
CG0304,13
CG033,6
CG0408,10
CG0410,3
CG0413,2
CG042,2
CG0493,2
CG0495,3
CG0497,2
CG0504,70
CG06,3
CG10,1
CG1019,10
CG1024,1
CG1029,2
CG1030,5
CG1068,1
CG11,19
CG1123,375
CG1179,3
CG12,11
CG1229,1
CG1279,1
CG13,14
CG14,46
CG15,52
CG1520,5
CG16,9
CG19,44
CG1976,1
CG1987,3
CG1989,9
CG1990,2
CG1991,11
CG1993,48
CG1994,13
CG1995,38
CG1996,4
CG1997,113
CG1998,8
CG1999,97
CG2000,3
CG2001,210
CG2002,5
CG2003,412
CG2004,38
CG2005,1466
CG2006,54
CG2007,1070
CG2008,57
CG2009,1322
CG2010,144
CG2011,1442
CG2012,126
CG2013,1753
CG2014,124
CG2015,3035
CG2016,52
CG2017,5903
CG2019,18415
CG2021,49152
CG2023,70097
CG21,1547
CG21A,244
CG2209,1
CG2250,31
CG2259,12
CG2260,3
CG2269,2
CG2270,15
CG2279,4
CG2288,2
CG2289,12
CG2290,2
CG23,1002
CG294B,168
CG3105,39
CG3204,7
CG3210,3
CG3293,3
CG3299,21
CG3398,1
CG400,3
CG401,4
CG403,5
CG404,2
CG405,41
CG4103,202
CG4119,1
CG4180,1
CG4197,63
CG4202,12
CG4285,1
CG4290,1
CG4291,10
CG4296,10
CG4301,134
CG44,2
CG4400,54
CG4489,10
CG4495,37
CG4505,702
CG4594,2
CG4604,17
CG4693,32
CG4699,90
CG4787,6
CG4792,18
CG4798,14
CG48,21
CG496,1
CG497,1
CG498,2
CG499,3
CG510,13
CG5404,5
CG5702,5
CG5704,12
CG5923,477
CG6139,3
CG6219,1
CG6290,4
CG6496,4
CG6705,17
CG7139,2
CG7189,3
CG8169,1
CG8597,1
CG8895,1
CG8904,3
CG9104,1
CG9149,1
CG9304,6
CG956,2
CG964,8
CG9702,4
CG9704,19
CG973,5
CG985,1
CG9904,9
CG993,18
CGAP,38
CGCE06,1
CGCG,1
CGCG10,2
CGFR,3
CGHB06,3
CGNE,8
CGS,52
CGS06,8
CGS103,1
CGSG,180
CGST08,3
CP 23,102
CP0002,7
CP0004,4
CP0005,10
CP0006,1
CP0007,3
CP0008,13
CP0009,10
CP0010,61
CP0102,2
CP0295,1
CP0302,6
CP0408,12
CP0492,1
CP07,7
CP09,4
CP15,1
CP17,12
CP1989,3
CP1991,2
CP1993,5
CP1994,2
CP1995,16
CP1996,1
CP1997,26
CP1998,1
CP1999,21
CP2000,8
CP2001,27
CP2002,1
CP2003,153
CP2004,2
CP2005,145
CP2006,20
CP2007,253
CP2008,5
CP2009,126
CP201,1
CP2010,26
CP2011,125
CP2012,14
CP2013,152
CP2014,5
CP2015,317
CP2016,7
CP2017,733
CP2019,1360
CP2021,4234
CP2022,1
CP2023,15251
CP203,4
CP2250,2
CP23,19
CP287,1
CP296,2
CP304,1
CP305,2
CP381,26
CP399,1
CP9702,2
CPCH07,2
CPCP06,1
CPFR10,2
CPG 21,80
CPHE06,1
CPNC15,6
GN1129,1
GN1149,8
GN1160,15
GN1180,16
GN1982,1
GN1984,8
GN1986,37
GN1988,170
GN1990,203
GN1992,1208
GN1994,588
GN1996,2574
GN1998,1084
