commissioner,Count
AL-CC1,2780
AL-CC2,3141
AL-CC3,2965
AN-CC0001,1774
AN-CC0002,2276
AN-CC0003,1763
AT-CC0001,3187
AT-CC0002,4004
AT-CC0003,3914
BA-CC01,907
BA-CC02,1009
BA-CC03,924
BB-CC0001,2250
BB-CC0002,2269
BB-CC0003,2386
BB-CC0004,3555
BB-CC0005,2246
BR-CC0001,2520
BR-CC0002,2094
BR-CC0003,2016
BT-CC1,3754
BT-CC2,3152
BT-CC3,2853
BT-CC4,3772
BT-CC5,3561
BU-CC01,10867
BU-CC02,9541
BU-CC03,9481
BU-CC04,9259
BU-CC05,10889
CA-CC1,475
CA-CC2,385
CA-CC3,612
CD-CC1,1886
CD-CC2,1843
CD-CC3,1985
CF-CC1,1141
CF-CC2,1141
CF-CC3,1299
CF-CC4,1115
CF-CC5,1348
CK-CCCK1,5357
CK-CCCK2,4992
CK-CCCK3,5328
CL-CC0001,7221
CL-CC0002,6042
CL-CC0003,7302
CM-CC0001,306
CM-CC0002,403
CM-CC0003,417
CN-CC1,482
CN-CC2,692
CN-CC3,847
CQ-CC0001,623
CQ-CC0002,859
CQ-CC0003,818
CR-CC1,9713
CR-CC2,9235
CR-CC3,8923
CS-CC1,620
CS-CC2,656
CS-CC3,594
CY-CC01,1968
CY-CC02,1913
CY-CC03,2168
DC-CC0001,644
DC-CC0002,694
DC-CC0003,682
DG-CC001,18206
DG-CC002,12163
DG-CC003,17519
DG-CC004,16130
DG-CC005,16113
DK-CC0001,4356
DK-CC0002,4612
DK-CC0003,4898
DP-CC0001,1496
DP-CC0002,1743
DP-CC0003,1775
ED-CC0001,624
ED-CC0002,570
ED-CC0003,621
EK-CC0001,581
EK-CC0002,664
EK-CC0003,637
EL-CC1,6577
EL-CC2,6990
EL-CC3,6993
EW-CC0001,1144
EW-CC0002,1387
EW-CC0003,1308
FI-CC1,3658
FI-CC2,4617
FI-CC3,4871
FI-CC4,3791
FI-CC5,3918
FO-CC0001,4710
FO-CC0002,6345
FO-CC0003,5848
FR-CC01,3647
FR-CC02,4056
FR-CC03,4023
FR-CC04,3483
FR-CC05,3970
GE-CC0001,7198
GE-CC0002,6336
GE-CC0003,5302
GH-CC1,439
GH-CC2,784
GH-CC3,591
"GL-CC01,CC03",543
"GL-CC02,CC03",302
GO-CC01,676
GO-CC02,544
GO-CC03,595
GT-CC1,1369
GT-CC2,1357
GT-CC3,1048
GW-CC0001,915
GW-CC0002,683
GW-CC0003,1162
GW-CC0004,877
GW-CC0005,972
GY-CC0001,1222
GY-CC0002,1245
GY-CC0003,830
HG-CC01,268
HG-CC02,234
HG-CC03,247
HG-CC04,243
HG-CC05,278
HM-CC1,317
HM-CC2,219
HM-CC3,287
HM-CC4,201
HM-CC5,303
HP-CC1,1428
HP-CC2,1237
HP-CC3,1196
HS-CC1,950
HS-CC2,716
HS-CC3,548
HV-CC0001,7587
HV-CC0002,7641
HV-CC0003,7788
JA-CC0001,2984
JA-CC0002,3066
JA-CC0003,3106
JF-CC01,5001
JF-CC02,5063
JF-CC03,4038
JO-CC1,85356
JO-CC2,81271
JO-CC3,79108
JO-CC4,79207
JO-CC5,75425
JO-CC6,68227
JW-CC0001,748
JW-CC0002,741
JW-CC0003,748
KE-CC1,782
KE-CC2,754
KE-CC3,653
KM-CC1,2221
KM-CC2,1593
KM-CC3,1802
KW-CC0001,492
KW-CC0002,566
KW-CC0003,451
LB-CC1,4672
LB-CC2,4938
LB-CC3,4067
LC-CC01,693
LC-CC02,713
LC-CC03,693
LE-CC0001,362
LE-CC0002,393
LE-CC0003,370
LG-CC0001,874
LG-CC0002,678
LG-CC0003,335
LN-CC0001,2810
LN-CC0002,2502
LN-CC0003,2488
LV-CC01,13686
LV-CC02,11287
LV-CC03,12201
LV-CC04,9768
LV-CC05,10813
LY-CC1,6761
LY-CC2,7447
LY-CC3,6396
MC-CC0001,1449
MC-CC0002,1527
MC-CC0003,1231
ME-CC0001,618
ME-CC0002,1651
ME-CC0003,1020
MG-CC01,7469
MG-CC02,7404
MG-CC03,6457
MI-CC1,5428
MI-CC2,5065
MI-CC3,4555
MI-CC4,5150
MI-CC5,5974
MN-CC01,1449
MN-CC02,1602
MN-CC03,1536
MN-CC04,1780
MN-CC05,1763
MP-CC0001,6894
MP-CC0002,5814
MP-CC0003,6752
MR-CC1,1439
MR-CC2,1268
MR-CC3,1333
MS-CC0001,2690
MS-CC0002,2293
MS-CC0003,2313
MT-CC1,696
MT-CC2,694
MT-CC3,668
NM-CC0001,2334
NM-CC0002,2489
NM-CC0003,2606
NO-CC1,3742
NO-CC2,3228
NO-CC3,4092
NS-CC01,906
NS-CC02,472
NS-CC03,557
NT-CC01,1183
NT-CC02,1040
NT-CC03,1227
OB-CC0001,920
OB-CC0002,1062
OB-CC0003,592
OS- ,270
OS-CC01,4075
OS-CC02,4265
OS-CC03,3639
OT-CC0001,1423
OT-CC0002,1256
OT-CC0003,1223
PL-CC0001,1344
PL-CC0002,1236
PL-CC0003,1415
PN-CC0001,1582
PN-CC0002,977
PN-CC0003,1091
PR-CC0001,1710
PR-CC0002,1913
PR-CC0003,2091
PT-CC01,4054
PT-CC02,4122
PT-CC03,3806
PT-CC04,3337
PT-CC05,3663
RA-CC1,617
RA-CC2,751
RA-CC3,618
RC-CC01,1972
RC-CC02,2278
RC-CC03,2282
RH-CC0001,923
RH-CC0002,685
RH-CC0003,568
RL-CC001,13061
RL-CC002,12317
RL-CC003,14520
RN-CC0001,9320
RN-CC0002,7814
RN-CC0003,9272
RN-CC0004,9240
RN-CC0005,7361
RO-CC0001,1232
RO-CC0002,1138
RO-CC0003,1213
RP-CC1,1192
RP-CC2,1051
RP-CC3,1246
RS-CC1,868
RS-CC2,986
RS-CC3,924
RS-CC4,852
RS-CC5,968
SA-CC1,7240
SA-CC2,8761
SA-CC3,7738
SA-CC4,7033
SA-CC5,6857
SC-CC0001,1102
SC-CC0002,1015
SC-CC0003,1367
SD-CC0001,763
SD-CC0002,610
SD-CC0003,476
SF-CC01,879
SF-CC02,833
SF-CC03,938
SG-CC1,75277
SG-CC2,61716
SG-CC3,77631
SG-CC4,65628
SG-CC5,65025
SH-CC01,1258
SH-CC02,1391
SH-CC03,1014
SM-CC0001,971
SM-CC0002,960
SM-CC0003,912
SN-CC1,41089
SN-CC2,33219
SN-CC3,42270
ST-CC1,310
ST-CC2,426
ST-CC3,288
SU-CC0001,5583
SU-CC0002,5016
SU-CC0003,4948
SV-CC1,984
SV-CC2,1127
SV-CC3,1227
SW-CC0001,1826
SW-CC0002,1953
SW-CC0003,2274
SW-CC0004,2309
SW-CC0005,2953
TH-CC1,1662
TH-CC2,2137
TH-CC3,1649
TR-CC0001,725
TR-CC0002,676
TR-CC0003,648
WA-CCWA1,460
WA-CCWA2,327
WA-CCWA3,373
WB-CC01,1711
WB-CC02,1530
WB-CC03,2100
WH-CC0001,431
WH-CC0002,546
WH-CC0003,269
WL-CC0001,1600
WL-CC0002,1844
WL-CC0003,1619
WO-CC0001,575
WO-CC0002,906
WO-CC0003,771
WS-CC0001,1310
WS-CC0002,1182
WS-CC0003,1118
WY-CC1,11175
WY-CC2,7684
WY-CC3,11187
WY-CC4,8602
WY-CC5,16019
WY-CC6,11885
WY-CC7,14270
WY-CC8,12291
