precinct_text_name,Count
Benton Twp 85,296
Bern City,127
Berwick Township,284
Bethany Twp,56
Beulah,222
Beverly City,70
Big Bend Twp / Republic,120
Big Bow,124
Big Creek,369
Big Creek Twp CC1,66
Big Creek Twp CC4,50
Big Springs 58,315
Big Timber Twsp.,37
Bigelow Twp,24
Bird City,482
Bison City,128
Black Wolf,80
Blaine,240
Blaine Township,34
Blaine Twp,94
Blair Precinct,175
Blakely Township,87
Bloom,101
Bloom Twp,112
Bloomfield Township,63
Bloomington Twp,402
Blue Hill Township,24
Blue Rapids City Twp,75
Blue Rapids City Twp/BR,619
Blue Rapids Twp,62
Blue Twp H51,3399
Blue Twp H61,649
Blue Valley - Olsburg,278
Bluff City,34
Bluff Twnshp,46
BM TWP Precinct Bm00001,344
BN01,377
Bogue City,109
Boling/High Prairie H38,1085
Boling/High Prairie H40,382
Boling/High Prairie H41,288
Boling/High Prairie H42,76
Bolton East H12,207
Bolton West,814
Bonaville Twp,61
Bonner Springs City,5
Bow Creek,25
Br. Grove Twp,31
Brantford Precinct,63
Brazilton,56
Brewster / W Hale,256
Bronson City,192
Brownscreek Township,43
Bruno Twp North - 77,922
Bruno Twp North - 77 B,94
Bruno Twp North - 77 C,45
Bruno Twp North - 99,304
Bruno Twp South - 77,435
Bruno Twp South - 88,5
Bryant Township,56
BS01-01,1234
BS02-01,1225
BS03-01,1401
BS04-01,1412
Buckeye,846
Buckeye 1,34
Buckeye Twp,76
Bucklin City,497
Bucklin Twp,63
Buffalo,69
Buffalo - Auburn,692
Buffalo City,135
Buffalo Township,56
Buffalo Twp,311
Buhler 74,944
Bunker Hill City,88
Burdett City,164
Burlington City,1639
Burlington Twp.,312
"Burlington Ward 2, CC Hts.",77
"Burlington Ward 2, Exclave 2",7
Burns,140
Burr Oak City,112
Burr Oak Precinct,113
Burr Oak Township,52
Burrton,497
Burrton A6,126
Byron 052,45
C Eudora 54,1297
CA/10,154
CaC W1,290
CaC W1 ExA,2
CaC W1 ExC,2
CaC W2,283
CaC W3,338
CaC W4,345
CaC W4 ExA,1
Caldwell Twnshp,101
Caldwell Ward 1,238
Caldwell Ward 2,447
Calhoun Twp,35
Calvin Township,42
Caneyville,56
Canren,52
Canton,72
Canton City,402
Canton Twp,143
Canville H2,141
Canville Part A H7,290
Canville Part B H7,5
Capaldo,395
Capioma Township,118
Carlton City USD473,35
Carlyle Twp,237
Carneiro,45
Carr Creek Township,16
Cassoday/Sycamore Twp,222
Castle Twp,50
Castleton 36,231
Catlin,116
Catlin/Peabody East,2
Catlin/Peabody West,6
Cawker Township,355
CE TWP Precinct Ce00002,345
Cedar,811
Cedar City,22
Cedar Point,12
Cedar Township,61
Cedar TWP,130
Cedron Township,25
Center,993
Center 1,664
Center 1 TWP,152
Center 1A TWP,47
Center 2,659
Center 2A,150
Center 37,171
Center III Township,51
Center IV Township,82
Center Township,244
Center Twp,832
Center TWP,345
Center Twp CC5,116
Center Twsp.,55
Center1 - Prec 1,445
Center2 - Prec 1,94
Centerville,377
Central Mission - Mission,777
Central Pauline - Topeka,153
Centralia-Home,275
Centralia-Illinois,49
Centre,382
Centropolis North Twp,375
Centropolis South Twp,380
CH01,1475
Chanute P1 W2,590
Chanute P1 W3,1226
Chanute P1 W3 Exclave,1
Chanute P1 W4,678
Chanute P2 W2,596
Chanute P2 W3,518
Chanute P2 W4 H7,454
Chanute P2 W4 Part A H2,7
Chanute P2 W4 Part B H2,1
Chanute P3 W3 Exclave,4
Chanute P3 W3 H2,178
Chanute P3 W3 H7,899
Chanute P3 W4 Exclave C,5
Chanute P3 W4 H2,46
Chanute P3 W4 H7,448
Chanute Ward 1,189
Chapman,76
Chapman City USD473,1004
Chapman Twp,36
Charleston Precinct,48
ChC W1,732
ChC W2,551
Cheever,108
Chelsea Twp,208
Cherokee,367
Cherokee-Sheridan,241
Chetopa City,729
Chetopa H13,473
Chetopa H2,1
Chetopa H9,141
Chetopa TWP,107
Cheyenne - Tecumseh,751
Cheyenne Twp,315
Chicopee,422
Chikaskia,27
Chikaskia Twnshp,42
Cimarron,46
Cimarron City 1,259
Cimarron City 2,1162
Cimarron TWP,70
Cimarron Twp 1,169
Cimarron Twp 2,83
Circleville City,106
City of Auburn - Auburn,788
City of Jetmore - North,234
City of Jetmore - NW/SW Center,114
City of Jetmore - South,247
Clarence Twp,96
Clark,91
