polling_place_text_name,Count
,91
-wilson County Courthouse - Townships,1051
01 Lawrence-Douglas County Health Department,736
01/02 McKenzie Center,1573
02/03/07 Carnegie Building,2254
03/04 Carver Center,1472
04/05/42 Doubletree Hotel - Convention Center,2714
05 St Johns Msn Bapt Ch,1759
06 First Presbyterian Ch,980
06/13 American Legion,2127
07/08 4H Building,2610
08/40 Trinity Lutheran Church,1692
09/21 University Community of Christ Church,1246
1 Fairgrounds. -Pct. 4 & 5,2061
10 Burge Union,366
10 Fairgrounds - Pct. 23 & 23 Ex,1561
10 VFW Building,1691
11 Christ Covenant Reformed Presbyterian Church,864
11 Fairgrounds - Pct. 24 & 25,1759
11/12/13 Trinity Lutheran Ch Hl,1383
"12 Fairgrounds - Pct. 26, 26 Ex & 29",1165
12/23/24 First Baptist Church,2994
12th Street Community Center,3789
13 Fairgrounds - Pct. 30 & 31,1185
"14 Fairgrounds - Pct. 32, 33 & 35",811
14 First Baptist Church,985
14/17 First Presbyterian Church,3518
"15 Fairgrounds - Pct. 1, 2 & 3",1580
15 Immanuel Lutheran Church,1289
15/21/22 First Ch of the Nazarene,2372
151st Street Church of Christ,3486
16- Fairgrounds- Pct. 27 & Clay North,1357
16/27 First Covenant Ch,1557
16/46 Arterra Event Gallery,3317
17 Church of the Cross,2483
18/19/20 St Mary's Parish Center,3393
18/48 Rev City Church,3197
19 Brandon Woods - Smith Center,1328
1st Baptist Church,1088
1st Southern Baptist,1057
"2 Fairgrounds - Pct. 6, 7 & 8",1942
20/71 First Southern Baptist Church,3677
22/76 Connect Church,1490
23 Ray Avenue Baptist Ch,1352
24/28/29 Trinity United Meth Ch,2115
24th District Courthouse,1935
25/26 Central United Methodist Church,1557
25/26 Redeemer Lutheran Ch,1690
27/28 Redemption Hill Church,1662
29 Checkers Food Store,855
3 Fairgrounds - Pct. 9 & 10,2074
30/31 Sa Area Tech College,1695
30/32 Dg Co Human Services Building,1960
31 Southside Church of Christ,1104
33 Vintage Church,835
34 Haskell Light,702
35 E. Lawrence Rec Center,1161
36/37/38/77 Flory Meeting Hall - Fairgrounds,4879
38/65 Cornerstone Community Church,527
39 Cider Gallery,1055
4-H Building-Highland 2-08.01/08.05,81
4-H Building-Sandcreek-10.4/10.06,19
4-H Building-Solomon 1-10.3/10.7,42
4-H Building-Solomon 2-11.01/11.02,36
4-h Building Belle Plain 10.01/10.02,26
4-H Building City,2593
4-H Building Rural,4051
4-H Building Ward 1.1,627
4-H Building Ward 2.2,677
