DayOfLeapYear,Count
1,6255
2,4825
3,5040
4,5235
5,5519
6,5225
7,5303
8,5195
9,5216
10,5296
11,5302
12,5302
13,5263
14,5367
15,5362
16,5229
17,5367
18,5387
19,5264
20,5475
21,5456
22,5354
23,5399
24,5344
25,5284
26,5283
27,5349
28,5395
29,5300
30,5348
31,5157
32,5555
33,5615
34,5339
35,5416
36,5382
37,5376
38,5380
39,5266
40,5456
41,5498
42,5351
43,5442
44,5282
45,5734
46,5453
47,5429
48,5366
49,5469
50,5332
51,5502
52,5462
53,5513
54,5272
55,5495
56,5485
57,5450
58,5402
59,5463
60,1270
61,5634
62,5549
63,5641
64,5454
65,5526
66,5492
67,5410
68,5413
69,5531
70,5517
71,5301
72,5411
73,5411
74,5435
75,5549
76,5271
77,5336
78,5241
79,5368
80,5353
81,5369
82,5402
83,5250
84,5372
85,5289
86,5352
87,5164
88,5263
89,5267
90,5289
91,5384
92,5063
93,5438
94,5290
95,5314
96,5416
97,5206
98,5326
99,5355
100,5077
101,5190
102,5233
103,5395
104,4948
105,5389
106,5296
107,5343
108,5259
109,5276
110,4985
111,5195
112,5068
113,5185
114,5215
115,5148
116,5058
117,5214
118,5160
119,5181
120,5179
121,5058
122,5282
123,5193
124,5339
125,5176
126,5369
127,5202
128,5207
129,5169
130,5155
131,5225
132,5130
133,5127
134,5115
135,5222
136,5272
137,5230
138,5355
139,5208
140,5195
141,5217
142,5270
143,5409
144,5390
145,5323
146,5311
147,5184
148,5207
149,5266
150,5143
151,5078
152,4993
153,5505
154,5401
155,5303
156,5343
157,5219
158,5474
159,5378
160,5397
161,5326
162,5378
163,5352
164,5382
165,5355
166,5383
167,5460
168,5468
169,5414
170,5349
171,5324
172,5419
173,5592
174,5485
175,5450
176,5544
177,5516
178,5614
179,5409
180,5561
181,5659
182,5642
183,5815
184,5615
185,5571
186,4755
187,5309
188,5607
189,5988
190,5891
191,5661
192,5631
193,5776
194,5798
195,5735
196,5648
197,5874
198,5794
199,5812
200,5802
201,5693
202,5697
203,5762
204,5700
205,5746
206,5764
207,5724
208,5812
209,5804
210,5736
211,5852
212,5763
213,5727
214,5737
215,5903
216,5728
217,5753
218,5612
219,5813
220,5706
221,5721
222,5727
223,5788
224,5766
225,5826
226,5581
227,5663
228,5870
229,5838
230,5833
231,5901
232,5712
233,5884
234,5703
235,5729
236,5878
237,5961
238,5726
239,5844
240,5798
241,5821
242,5872
243,5822
244,5813
245,5778
246,5571
247,5753
248,5569
249,5695
250,5866
251,5608
252,5848
253,6031
254,5980
255,5925
256,5926
257,5900
258,5982
259,6008
260,6099
261,6092
262,5945
263,5967
264,6062
265,6106
266,6159
267,6070
268,5995
269,6035
270,5915
271,6114
272,5986
273,5990
274,5902
275,5967
276,6030
277,5811
278,5890
279,5844
280,5790
281,5696
282,5678
283,5700
284,5842
285,5588
286,5688
287,5550
288,5692
289,5755
290,5686
291,5701
292,5687
293,5554
294,5688
295,5561
296,5594
297,5550
298,5483
299,5520
300,5356
301,5557
302,5615
303,5450
304,5314
305,5116
306,5674
307,5564
308,5473
309,5571
310,5647
311,5441
312,5474
313,5583
314,5667
315,5579
316,5398
317,5496
318,5385
319,5316
320,5470
321,5420
322,5555
323,5455
324,5416
325,5629
326,5606
327,5336
328,5279
329,5126
330,4943
331,5070
332,5159
333,5066
334,5313
335,5422
336,5447
337,5337
338,5376
339,5351
340,5300
341,5355
342,5481
343,5496
344,5365
345,5454
346,5459
347,5529
348,5365
349,5418
350,5600
351,5536
352,5684
353,5674
354,5839
355,5755
356,5564
357,5344
358,4950
359,4442
360,4227
361,4888
362,5693
363,5986
364,6009
365,5950
366,5835
