precinct_part_text_name,Count
09.2 Taloga Twp/C-2/218,23
1 East Rossville 321-1,14
1 East Rossville 321-2,276
1 East Rossville 321-2-R,409
1 Pct 1 Ward,904
1 Pct 2 Ward,817
1 Pct 3 Ward,1050
1 Pct 4 Ward,658
1 Pct 5 Ward,927
1 Pct 6 Ward,1009
1 Pct 7 Ward,495
1.1,736
1.1  Burrton City - 369,497
1.1 Atlanta Township,45
1.1 Bazaar Local Board 3,75
"1.1 Hanston City, N, 228, C1",104
1.1 Ward One,627
1.2 Atlanta Township,2
"1.2 Marena Twp N 228, C1",74
1.3 Atlanta Township,63
"1.3 Marena Twp N 496, C1",6
1/1 501-2,466
1/2 345-A,115
1/2 501-2,393
1/3 345-B,426
1/4 345-B,416
1/4 501-2,172
1/5 345-A,851
1/5 501-2,30
1/6 345-A,216
1/6 345-B,409
1/6 345-C,344
1/7 345-B,3
1/9 345-A,1
10,1691
10 West Silver Lake 321-2,5
10 West Silver Lake 372,153
10 West Silver Lake 372-S,401
10.1,1025
10.1 Belle Plain Twp,20
10.1 East Strong Strong City,250
10.1 Odessa Township,37
"10.1 Valley 227, C1",33
10.1 Westola Twp/C-2/218,47
10.2 Belle Plain Twp,6
"10.2 Valley 228, C1",2
10.3 Edmond City,32
10.4 SandCreek Twp,7
10.5 SandCreek Twp,8
10.6 SandCreek Twp,4
10.7 Solomon Twp,10
10/1 501-3,551
10/10 437-A,6
10/10 501-3,558
10/11 437-A,279
10/11 501-3,513
10/13 437-A,60
10/14 437-A,354
10/14 501-3,202
10/2 437-A,2
10/2 501-3,395
10/3 501-3,835
10/4 501-3,538
10/5 501-3,487
10/6 501-3,433
10/7 501-3,526
10/8 501-3,490
10/9 501-3,353
1001.1,172
1002.1,1280
1003.1,5
1003.2,515
1003.3,3
1003.4,87
1004.1,1660
1005.1,24
1006.1,158
1008.1,77
1008.2,15
1009.1,14
101 in USD 259-2,17
102,1267
103,289
104,135
105 in USD 259-3,821
105 in USD 259-6,290
106 in USD 259-3,2172
106 in USD 259-6,311
107,2036
108,1383
109,1580
11,985
11.1,1475
11.1 Athelstane,81
11.1 Homestead,37
11.1 Lincoln Twp,12
11.1 Pioneer Township USD112-5,2
11.1 Russell City Ward I CC3,450
"11.1 W Sawlog, 227, Com 5",26
11.1 Ward  1,783
11.2 Pioneer Township,32
11.2 West Union Twp,24
11.3 Pioneer Township,17
11.4 Pioneer Township USD112-6,5
11.5.1 Russell City Ward 1 CC5,240
11/1 501-3,392
11/10 501-3,354
11/2 501-3,500
11/3 501-3,418
11/4 501-3,644
11/5 501-3,540
11/6 501-3,519
11/7 501-3,541
11/8 501-3,553
11/9 501-3,555
110,1895
111 in USD 259-1,476
112,1803
113,1735
114 in USD 259-1,1270
114 in USD 259-6,406
116,2164
117,1774
118,2012
119,1668
12,100
12 Grove 321-1,2
12 Grove 321-2,38
12 Grove 372,520
12.1,1995
12.1 Blaine,203
12.1 City of Raymond - Raymond,47
12.1 Matfield MFG City,43
12.1 Russell City Ward 2 CC2,642
12.1 Ward  2,545
"12.1City of Jetmore, N, C2",234
12.2 Raymond Township,4
12.3 Raymond Township,58
12.4.1 Russell City Ward 2 CC4,114
12/1 437-A,515
12/1 501-3,68
12/11 437-C,749
12/11 501-3,103
12/13 437-A,606
12/14 437-A,531
12/15 437-A,917
12/16 437-C,392
12/16 501-3,637
12/17 437-C,8
12/19 437-A,112
12/2 437-A,557
12/20 437-A,715
12/3 437-A,321
12/3 501-3,218
12/31 437-A,451
12/4 501-3,600
12/5 437-A,510
12/6 501-3,697
12/7 437-C,88
12/7 501-3,657
12/8 501-3,601
12/9 501-3,979
120,1666
121,1271
122,2824
123,400
126,374
127  in USD 259-1,41
128,1438
129,571
13,298
13.1,1892
13.1 Bloom,3
"13.1 Jetmore, City S, C3",247
13.1 Matfield,49
13.1 Russell City Ward 3  CC3,164
13.1 Sterling Township,146
13.1 Ward 3,513
13.2 Bloom,95
13.3 Bloom,3
13.4.1 Russell City Ward 3 CC4,424
13.5.1 Russell City Ward 3 CC5,135
13/1 437-C,2
13/12 437-C,1019
13/2 437-A,289
13/21 437-A,151
13/22 437-A,138
13/30 437-A,351
13/5 437-A,70
13/6 437-C,203
13/8 437-A,9
13/9 437-A,173
130 in USD 259-3,961
130 in USD 259-4,158
133,57
135,436
136 in USD 259-1,913
137,1562
138,1961
14,985
14 Kiro 345-A,389
14 Kiro 372,342
14.1,2394
14.1 Chapman,76
14.1 City of Little River -Un,346
14.1 Russell City Ward 4 CC1,502
14.1 Toledo,248
14.1 Ward 4  Comm Dist #1,414
"14.1Jetmore City NW, C5",65
"14.2 Center SW, C5",49
14.2 Union,147
14.2 Ward 4  Comm Dist #2,413
14.5.1 Russell City Ward 4 CC5,180
14/01 437-B,659
14/01 501-3,276
14/02 437-B,835
14/03 437-B,475
14/04 437-C,1091
14/05 437-C,499
14B.1,476
15,1492
15 Messhoss Creek 345-A,326
15 Messhoss Creek 372,254
15.1,1672
"15.1 Center Twp SE,C4 227",31
15.1 City of Alden -Valley Twp,93
15.1 Clay Center,307
15.1 West Falls CWF City,309
