Registered,Count
-179.619178082192,2
-179.616438356164,1
-0.726027397260274,1
-0.63013698630137,1
-0.408219178082192,1
-0.383561643835616,1
-0.353424657534247,1
-0.241095890410959,1
0,1
0.252054794520548,642
0.254794520547945,3
0.257534246575342,6
0.26027397260274,217
0.263013698630137,208
0.265753424657534,92
0.268493150684932,119
0.271232876712329,606
0.273972602739726,6
0.276712328767123,12
0.279452054794521,293
0.282191780821918,282
0.284931506849315,117
0.287671232876712,135
0.29041095890411,541
0.293150684931507,4
0.295890410958904,9
0.298630136986301,275
0.301369863013699,278
0.304109589041096,162
0.306849315068493,131
0.30958904109589,804
0.312328767123288,8
0.315068493150685,12
0.317808219178082,369
0.320547945205479,411
0.323287671232877,141
0.326027397260274,258
0.328767123287671,1004
0.331506849315069,6
0.334246575342466,10
0.336986301369863,454
0.33972602739726,728
0.342465753424658,137
0.345205479452055,131
0.347945205479452,948
0.350684931506849,10
0.353424657534247,14
0.356164383561644,390
0.358904109589041,408
0.361643835616438,399
0.364383561643836,394
0.367123287671233,689
0.36986301369863,6
0.372602739726027,12
0.375342465753425,484
0.378082191780822,589
0.380821917808219,723
0.383561643835616,976
0.386301369863014,1600
0.389041095890411,4
0.391780821917808,12
0.394520547945205,1254
0.397260273972603,1354
0.4,315
0.402739726027397,145
0.405479452054795,346
0.408219178082192,10
0.410958904109589,16
0.413698630136986,210
0.416438356164384,336
0.419178082191781,182
0.421917808219178,149
0.424657534246575,352
0.427397260273973,17
0.43013698630137,9
0.432876712328767,141
0.435616438356164,150
0.438356164383562,89
0.441095890410959,114
0.443835616438356,301
0.446575342465753,11
0.449315068493151,5
0.452054794520548,172
0.454794520547945,123
0.457534246575342,270
0.46027397260274,323
0.463013698630137,140
0.465753424657534,5
0.468493150684932,8
0.471232876712329,75
0.473972602739726,71
0.476712328767123,70
0.479452054794521,1060
0.482191780821918,576
0.484931506849315,15
0.487671232876712,16
0.49041095890411,427
0.493150684931507,507
0.495890410958904,172
0.498630136986301,361
0.501369863013699,656
0.504109589041096,20
0.506849315068493,9
0.50958904109589,425
0.512328767123288,299
0.515068493150685,133
0.517808219178082,261
