text_res_address_nbr_suffix,Count
,2003317
-1,9
-1/2,1
-2,9
-5,1
-B,1
-F,1
.5,9
`,23
``,2
01,1
02,3
03,1
04,4
05,1
06,2
08,3
09,2
1,68
"1,2",1
1/2,1984
1/20,1
1/21,1
1/22,1
1/2B,1
1/5,1
10,1
1006,1
106,1
11,1
12,3
14,1
15,2
154,1
16,1
17,3
18/2,1
19,1
2,73
202,1
213,1
22,1
24,1
27,1
3,6
307,1
4,2
5,4
5202,1
6,4
8B,1
a,41
A,758
A2,1
AP,1
b,47
B,685
B3,2
B5,1
Bend,1
c,4
C,96
cr,1
CR,1
D,70
e,7
E,54
E60,1
F,22
G,6
H,10
I,1
J,3
K,1
L,2
M,1
n,19
N,36
ne,1
NE,2
nw,2
NW,5
O,1
P,2
pkwy,1
q,1
R,1
s,16
S,48
se,2
SE,3
Sr,1
sw,5
th,1
UP,1
US,3
w,18
W,33
W2,1
