polling_place_text_city,Count
,13150
Abbyville,134
Abilene,4612
Admire,360
Agra,712
Allen,349
Almena,360
Altamont,1088
Alton,191
Altoona,1074
Americus,994
Andale,1457
Andover,13727
Anthony,1896
Arcadia,325
Argonia,699
Arkansas City,7573
Arlington,531
Arma,3035
Ashland,860
Assaria,800
Atchison,8784
Atlanta,374
Attica,569
Auburn,2400
Augusta,9697
Aurora,197
Axtell,590
Baileyville,482
Baldwin City,6694
Barnes,263
Basehor,9836
Baxter Springs,3606
Beattie,320
Bel Aire,7264
Belle Plaine,2303
Belleville,1779
Beloit,3127
Belpre,165
Bennington,1057
Bentley,849
Benton,2279
Bern,570
Berryton,1624
Bird City,482
Bison,320
Blue Mound,344
Blue Rapids,1421
Bonner Springs,5311
Brookville,365
Bucklin,693
Bucyrus,541
Buhler,1350
Bunker Hill,414
Burden,617
Burlingame,1485
Burlington,1723
Burns,253
Burr Oak,428
Burrton,1506
Bushton,293
Caldwell,995
Caney,1261
Canton,722
Carbondale,1827
Carlton,438
Cassoday,438
Cawker City,371
Cedar Vale,481
Centerville,345
Centralia,511
Chanute,7320
Chapman,1949
Chase,571
Cheney,2497
Cherokee,808
Cherryvale,1872
Chetopa,1180
Cimarron,2467
Circleville,381
Claflin,913
Clay Center,4529
Clearwater,3388
Clifton,568
Clyde,632
Codell,115
Coffeyville,6190
Colby,5448
Coldwater,655
Colony,520
Columbus,4325
Colwich,1787
Concordia,3818
Conway Springs,1701
Corning,406
Cottonwood Falls,1870
Council Grove,2413
Courtland,526
Cuba,383
Culver,155
Cummings,439
Cunningham,561
Damar,146
De Soto,5890
Dearing,1121
Deerfield,510
Delia,492
Delphos,382
Denison,436
Denton,571
Derby,21909
Dexter,403
Dighton,954
Dodge City,14996
Douglass,1686
Dover,828
Downs,771
Dresden,116
Dwight,443
Eastborough,654
Easton,3076
Edgerton,1998
Edna,974
Edwardsville,3116
Effingham,686
El Dorado,10445
Elk City,389
Elkhart,1670
Ellinwood,1929
Ellis,1898
Ellsworth,2099
Elwood,731
Emporia,16441
Enterprise,1985
Erie,1194
Eudora,5526
Eureka,2660
Fairview,1269
Fairway,1686
Falun,219
Farlington,428
Florence,405
Fontana,444
Ford,229
Fort Scott,9396
Fowler,618
Frankfort,1042
Fredonia,2210
Frontenac,2983
Fulton,657
Galena,3348
Galesburg,655
Galva,887
Garden City,19126
Garden Plain,1583
Gardner,17675
Garfield,149
Garnett,3035
Gas,1300
Gaylord,299
Geneseo,300
Geuda Springs,200
Girard,3194
Glasco,420
Glen Elder,377
Goddard,5397
Goessel,1027
Goff,283
Goodland,3663
Gorham,401
Gove,264
Grainfield,426
Grantville,1043
Great Bend,11409
Greeley,730
Greensburg,710
Gridley,667
Grinnell,299
Gypsum,1029
Haddam,226
Halstead,1835
Hamilton,409
Hanover,755
Hanston,364
Harper,1396
Hartford,522
Harveyville,419
Havana,446
Haven,1190
Haviland,545
Hays,14296
Hays      ,3005
Haysville,9985
Healy,171
Hedville,634
Hepler,352
Herington,2285
Hesston,3112
Hiawatha,3040
Highland,765
Hill City,1814
Hillsboro,2351
Hillsdale,1131
Hoisington,2841
Holcomb,1729
Holton,3432
Holyrood,388
Hope,434
Horton,1815
Howard,832
Hoxie,1546
Hoyt,1688
Hugoton,2969
Humboldt,2018
Hunter,108
Hutchinson,32892
Independence,7683
Inman,1710
Iola,4610
Jamestown,251
Jennings,126
Jetmore,906
Jewell,705
Johnson,1024
Junction City,17613
Kanopolis,531
Kansas City,84686
Kechi,2935
Kensington,621
Kincaid,485
Kingman,2882
Kinsley,1042
Kiowa,915
Kipp,262
Kismet,388
La Cygne,2902
LaCrosse,1196
Lake Quivira,908
Lakin,1679
Lancaster,615
Lane,478
Langdon,143
Lansing,8277
Larned,3122
Lawrence,66787
Le Roy,776
Leavenworth,24070
Leawood,38392
Lebanon,400
Lecompton,1266
Lenexa,46609
Lenora,297
Leon,1156
Leonardville,554
Leoti,1246
Lewis,417
Liberal,10927
Liberty,375
Lincoln,1581
Lincolnville,531
Lindsborg,2765
Linn,613
Linwood,3603
Little River,648
Logan,1058
Longton,476
Lorraine,90
Louisburg,6444
Lucas,281
Lyndon,1801
Lyons,2658
Madison,844
Maize,5398
Manhattan,38473
Mankato,1104
Maple Hill,880
Mapleton,854
Marion,2176
Marquette,593
Marysville,3668
Mayetta,1727
Mayfield,186
Mc Louth,1337
McCracken,295
Mccune,586
Mcfarland,260
McPherson,10494
Meade,1651
Medicine Ldg,1925
Melvern,1211
Meriden,2762
Merriam,6693
Milford,1223
Miltonvale,396
Minneapolis,1724
Minneola,612
Mission,8877
Mission Hills,2450
Moline,574
Montezuma,830
Moran,958
Moscow,369
Mound City,1684
Mound Valley,1020
Moundridge,1893
Mount Hope,1173
Mullinville,254
Mulvane,5516
Munden,314
Murdock,913
Muscotah,581
Natoma,281
Neodesha,1779
Neosho Rapids,732
Ness City,1935
Netawaka,255
