text_election_code_3,Count
,662089
12897,1
22503,1
22790,1
4103,19
4197,2
4202,1
4291,6
4296,4
4301,6
4495,4
4505,17
4604,3
4693,2
4699,1
4792,2
4798,1
51804,13
8791,2
CG,216
CG0003,9
CG0004,3
CG0005,7
CG0007,23
CG0008,6
CG0009,11
CG0010,80
CG0011,45
CG0023,82
CG005,6
CG0104,13
CG012,2
CG0304,12
CG033,6
CG0404,1
CG0408,3
CG0410,2
CG0413,2
CG042,1
CG0495,1
CG0504,58
CG06,5
CG08,1
CG1019,8
CG1030,2
CG11,16
CG1123,848
CG1179,1
CG12,5
CG1229,1
CG1279,2
CG1289,1
CG13,8
CG1319,1
CG14,20
CG15,23
CG1520,4
CG16,11
CG19,31
CG1976,1
CG1989,6
CG1990,1
CG1991,10
CG1993,43
CG1994,12
CG1995,45
CG1996,1
CG1997,78
CG1998,4
CG1999,67
CG20,1
CG2000,1
CG2001,130
CG2002,5
CG2003,282
CG2004,24
CG2005,1122
CG2006,42
CG2007,822
CG2008,44
CG2009,986
CG2010,94
CG2011,1033
CG2012,72
CG2013,1167
CG2014,89
CG2015,1920
CG2016,47
CG2017,3388
CG2019,8623
CG2021,20244
CG2023,142915
CG21,665
CG21A,111
CG2209,2
CG2250,29
CG2259,6
CG2260,1
CG2269,2
CG2270,14
CG2279,1
CG2288,2
CG2289,15
CG23,2486
CG294B,240
CG3105,28
CG3204,5
CG3210,1
CG3293,2
CG3299,24
CG3392,1
CG3398,1
CG400,2
CG401,1
CG403,6
CG405,23
CG4103,188
CG4197,64
CG4202,9
CG4290,1
CG4291,5
CG4296,8
CG4301,111
CG4400,36
CG4489,7
CG4495,25
CG4505,533
CG4594,4
CG4604,19
CG4693,25
CG4699,89
CG4787,4
CG4792,11
CG4798,8
CG48,9
CG496,1
CG497,2
CG498,1
CG499,6
CG510,11
CG5149,1
CG5229,1
CG5404,2
CG5702,4
CG5704,4
CG5923,355
CG6139,3
CG6219,2
CG6290,1
CG6496,1
CG6705,9
CG7139,2
CG7189,2
CG8299,3
CG9104,1
CG9149,2
CG9304,2
CG9404,1
CG9504,1
CG956,5
CG964,4
CG9702,1
CG9704,12
CG973,4
CG9804,1
CG985,2
CG9904,8
CG993,14
CGAP,22
CGCE06,2
CGCG,3
CGCG10,1
CGFR,3
CGHB06,5
CGHE08,1
CGNE,12
CGS,16
CGS06,4
CGS103,1
CGSG,426
CGSP06,2
CGST10,1
CGST14,1
CP,1
CP 23,179
CP0002,6
CP0004,1
CP0005,8
CP0006,1
CP0008,12
CP0009,6
CP0010,45
CP0102,4
CP0302,3
CP0408,9
CP07,6
CP09,1
CP102,2
CP15,6
CP17,5
CP1982,1
CP1987,1
CP1989,1
CP1991,2
CP1993,4
CP1995,13
CP1997,17
CP1998,1
CP1999,13
CP2000,2
CP2001,30
CP2003,110
CP2004,2
CP2005,119
CP2006,20
CP2007,165
CP2008,2
CP2009,93
CP2010,10
CP2011,86
CP2012,10
CP2013,106
CP2014,1
CP2015,194
CP2016,2
CP2017,462
CP2019,740
CP2021,1723
CP2022,1
CP2023,20607
CP203,2
CP23,10
CP305,3
CP381,84
CP9204,2
CP9702,2
CPCH07,1
CPG 21,32
CPHE06,1
CPMN08,1
CPNC15,2
GN1129,3
GN1149,4
GN1160,9
GN1180,12
GN1980,1
GN1984,5
GN1986,27
GN1988,153
GN1990,158
GN1992,1110
GN1994,503
GN1996,2202
GN1998,843
GN2000,3837
GN2002,1786
GN2004,9693
GN2006,3644
GN2008,18661
GN2010,6247
GN2012,23537
GN2014,11135
GN2016,53924
GN2018,57613
GN2020,185477
GN2022,240600
GN2024,1682
GN4197,12
GN4202,3
GN4296,2
GN4301,16
GN4495,3
GN4693,2
GN4699,13
GN4798,6
MB#383,110
MB/SP,5
MB/WC,4
MB0108,138
MB0110,12
MB0112,180
MB0115,152
MB0116,177
MB0120,809
MB0121,3418
MB0123,7384
MB0211,14
MB0215,13
MB0216,59
MB0219,4
MB0315,30
MB0320,52
MB0322,1798
MB0412,984
MB0414,200
MB0416,13
MB0423,4882
MB0424,1568
MB0506,40
MB0508,34
MB0513,3
MB0516,53
MB0517,302
MB0518,643
MB0519,939
MB0607,21
MB0611,22
MB0613,298
MB0615,69
MB0616,330
MB0618,190
MB0619,96
MB0622,99
MB0623,10863
MB0711,14
MB0719,21
MB0807,3
MB0823,1031
MB0830,83
MB0907,43
MB0915,34
MB0916,101
MB0917,49
MB0918,368
MB0919,586
MB0921,72
MB0922,530
MB1007,131
MB1013,299
MB1107,77
MB1109,3
MB1113,248
MB1205,197
MB1211,10
MB1213,19
MB1301,18
MB1302,73
MB1501,47
MB15B,6
MB1601,18
MB17,141
MB1701,81
MB17LA,67
MB1901,204
MB1995,10
MB2005,13
MB2006,56
MB2007,120
MB2008,35
MB2009,197
MB2010,31
MB2011,13
MB2012,43
MB2013,162
MB2014,298
MB2015,682
MB2016,339
MB2017,147
MB2018,121
MB2019,471
MB2020,375
MB2022,1040
MB2023,1
MB2024,1758
MB229,216
MB231,58
MB232,79
MB233,245
MB240,1
MB242,4
MB263,13
MB274,1
MB293,4
MB305,337
MB3408,37
MB360,5
MB368,45
MB383,7
MB394,37
MB396,16
MB398,2
MB402,81
MB415,6
MB416,34
MB437,132
MB4604,8
MB464,44
MB468,2
MB490,67
MB501,221
MB509,2
MB5116,61
MB512,361
MB5398,12
MB5410,13
MB5411,9
MB6115,141
MB615,35
MB6215,27
MB9410,1
MBAU06,12
MBAUG,52
MBB120,1
MBBE07,42
MBBE09,13
MBD423,39
MBHD07,12
MBM,4
MBMV06,7
MBNCO,2
MBOCA,2
MBPC09,10
MBREC,9
MBSB09,5
MBSD07,35
MBSE09,1
MBSLS,5
MBST06,49
MBST17,16
MBWT07,2
PP1992,23
PP2024,86879
PR0001,3
PR1986,1
PR1990,22
PR1992,90
PR1994,101
PR1996,309
PR1998,263
PR2000,369
PR2002,380
PR2004,933
PR2006,410
PR2007,1
PR2008,943
PR2010,1298
PR2012,1797
PR2014,1320
PR2016,3235
PR2018,5649
PR2020,24125
PR2022,275452
PR2024,21159
PR2250,19
