cde_name_suffix,Count
,1944456
1st,4
2nd,29
3rd,50
4th,6
Dr,4
DVM,3
I,91
II,6621
III,7540
IV,1376
Jr,33353
MD,7
Sr,7697
V,158
VI,30
VII,5
XV,1
