text_street_name,Count
,3179
1,137
1/2 Douglas,1
1/2 Washington,1
10,615
100,775
1000,617
10000,55
1000th,14
100th,3269
101,19
101st,2502
102,42
1021,10
1025,5
1029,3
102nd,1863
103,4
1031,7
1032,4
1033,2
1037,6
103rd,1173
104,26
1040,1
1043,3
1044,2
1048,3
104th,1065
105,51
1050,67
1055,12
1056,26
105th,1609
106,71
1060,16
1062,25
1066,19
1067,24
1068,5
106th,1620
107,29
1072,8
1075,6
107th,1248
108,70
108 Spur,1
108 Th,2
1082,35
1083,11
1087,22
108th,1789
109,24
1094,2
1099,6
109th,1958
10th,9295
10th Cavalry,46
10th Road,21
10th St,2
10th Street,24
11,55
110,281
110 Spring,20
1100,662
11000,51
1100th,29
1108,14
110th,2438
111,18
1112,5
1116,16
1117,9
111th,1275
112,58
1122,7
1125,4
112th,1645
113,31
1130,7
1135,30
1137,40
1138,20
113th,1653
114,30
114th,1359
115,27
115 th,2
1150,163
11500,17
1150th,20
1156,4
1157,4
1158,1
115th,2689
116,12
1167,25
1169,11
116th,2816
117,28
1172,12
1175,21
117th,1564
118,18
1180,5
1183,11
1184,5
118th,1826
119,14
1190,20
119th,2152
11th,6396
11th Road,19
11th Street,14
12,65
120,293
1200,395
12000,46
1200th,27
120th,2762
121,15
1217,9
121st,3138
122,6
1226,3
122nd,1670
123,32
1230,4
123rd,3148
124,9
1240,4
124th,2686
125,13
1250,129
1256,8
1259,57
125th,2668
126,162
1260,12
1264,87
126th,2439
127,18
1275,16
1279,7
127th,2646
128,12
1284,20
1287,1
1289,17
128th,1851
129,20
1292,17
1296,17
129th,1799
12th,6359
12th Road,35
12th St,2
12th St-Cntrp,7
12th Street,7
13,75
130,264
1300,334
13000,49
1300th,35
1304,5
130th,1880
131,29
131 St.,2
1310,16
1311,5
1318,11
131st,2693
132,27
1320,5
1325,3
1326,25
132nd,2672
133,13
1330,4
1338,48
133rd,1618
134,12
134th,1250
135,21
1350,64
135th,876
136,4
1360,3
1368,13
1369,20
136th,1286
137,5
1375,24
137th,1361
1380,7
1382,10
138th,2200
139th,1618
13th,5979
13th Circle,8
13th Road,26
13th St,5
14,24
140,258
1400,350
14000,70
1400th,96
140th,2184
141,3
1415,6
1418,2
141st,2084
1420,4
142nd,1554
1430,2
143rd,1874
144th,2161
145,2
1450,86
14500,10
1452,31
1456,6
1457,23
145th,1771
146,17
1464,27
1466,10
146th,1859
147,16
14700,3
1472,6
1474,16
1475,10
1479,29
147th,1935
1483,8
1485,61
148th,1352
1491,2
1493,3
1495,13
149th,1690
14th,4869
14th Cavalry,36
14th Road,16
14th St,59
14th St-Cntrp,1
15,46
15 Th,1
150,416
1500,421
15000,49
1505,7
1505 Rd,21
150th,2601
1512,14
1517,4
151st,1515
152,2
1523,7
1525,20
152nd,1796
1531,23
1532,12
1537,8
153rd,1870
1549,10
154th,1811
154th Ter,14
155,9
1550,166
15500,14
155th,2578
156th,2300
157,1
1570,6
1575,25
157th,2919
1581,3
1584,14
1585th,2
1587,40
158th,2705
159,1
159th,1221
15th,4592
15th Road,51
15th Street,23
16,48
16 Mile,37
160,317
1600,535
16000,34
1600th,75
1602,6
160th,1886
1610,16
161st,1293
1624,6
162nd,1326
1632,2
1634,2
163rd,1640
163rd Street,12
164th,1353
165,29
1650,97
16500,18
165th,1254
1663,32
166th,1139
1675,11
167th,1032
168,20
1683,8
1684,6
168th,841
169,34
169th,419
16th,3665
16th Road,1
16th St,12
16th Street,80
17,49
170,244
1700,415
17000,47
1700th,1
1708,2
170th,1474
171,22
1710,18
1712,15
1714,15
1719,6
171st,706
1723,2
1725,6
1728,2
172nd,943
1732,33
1735,5
1737,24
173rd,432
1748,3
174th,656
175,59
1750,247
17500,14
175th,529
1768,2
176th,392
1770,17
