cde_street_type,Count
,286457
Aly,49
Anx,25
Ave,208050
Blf,21
Blvd,13800
Bnd,191
Br,14
Byp,50
Cir,43353
Crk,64
Ct,87769
Ctr,10
Cv,273
Dl,2
Dr,181052
Est,107
Ft,1
Gln,45
Grv,7
Hl,3
Hts,156
Hvn,10
Hwy,6049
Ln,70605
Lndg,154
Loop,742
Mdws,17
Mnr,79
Mt,21
Park,444
Pass,183
Path,11
Pkwy,5588
Pl,29490
Plz,347
Pt,183
Rd,241173
Rdg,202
Rnch,16
Row,19
Run,169
Spur,23
Sq,286
St,710480
Ter,16634
Terr,89341
Trl,2704
Trwy,47
Un,1
Vlg,206
Vly,14
Vw,13
Way,4681
