cde_res_unit_type,Count
,1799218
Apt,138241
Bldg,216
Box,736
Bsmt,16
Dept,3
Fl,19
Frnt,1
Hngr,3
Lbby,22
Lot,13605
Lowr,5
Ofc,3
Ph,2
Rear,8
Rm,1638
Side,17
Spc,8
Ste,627
Stop,14
Trlr,236
Unit,46785
Uppr,8
