precinctPart,Count
Allen|Bassett City 257|01,22
Allen|Carlyle Twp 257|01,226
Allen|Carlyle Twp 479|03,12
Allen|Cottage Grove 256 All At Large|01,28
Allen|Cottage Grove 258 All At Large|02,140
Allen|Deer Creek 256 All At Large|01,31
Allen|Deer Creek 257|05,38
Allen|Deer Creek 479|04,20
Allen|East Elm 256 All At Large|01,41
Allen|East Elm 257|02,94
Allen|East Elm 258|03,4
Allen|Elsmore City 256 All At Large|01,42
Allen|Gas City 257|01,342
Allen|Geneva 257|01,95
Allen|Geneva 479|02,9
Allen|Hum City-1 258 All At Large|01,666
Allen|Hum City-2 258 All At Large|02,666
Allen|Humboldt Twp 258 All At Large|01,222
Allen|Iola Ward 1  257|01,776
Allen|Iola Ward 2  257|02,1124
Allen|Iola Ward 3  257|03,945
Allen|Iola Ward 4  257|04,822
Allen|LaHarpe City  257|01,307
Allen|Logan 258 All At Large|01,92
Allen|Logan 413|02,76
Allen|Marmaton 256 All At Large|03,208
Allen|Moran City 256 All At Large|01,315
Allen|North Elsmore 256 All At Large|01,98
Allen|North Iola Twp 257|01,202
Allen|Osage 256 All At Large|01,195
Allen|Salem 256 All At Large|03,43
Allen|Salem 258 All At Large|02,148
Allen|Savonburg City 256 All At Larg|01,60
Allen|South Elsmore 256 All At Large|01,61
Allen|South Iola Twp 257|01,377
Allen|South Iola Twp 258 All At Lrg|02,38
Allen|West Elm 257|01,408
Allen|West Elm 258 All At Large|02,4
Anderson|Colony City|01,292
Anderson|Garnett 01|01,856
Anderson|Garnett 02|01,713
Anderson|Garnett 03|01,662
Anderson|Garnett 04|01,206
Anderson|Greeley|01,200
Anderson|Indian Creek 365|01,23
Anderson|Indian Creek 479|02,82
Anderson|Jackson 1-4|03,96
Anderson|Jackson 2-5|01,130
Anderson|Jackson 3-6|02,117
Anderson|Kincaid|01,94
Anderson|Lincoln 365|01,159
Anderson|Lincoln 479|02,4
Anderson|Lone Elm 365|01,24
Anderson|Lone Elm 479|02,148
Anderson|Lone Elm City|01,18
Anderson|Monroe 365/1-4|01,71
Anderson|Monroe 365/2-5|02,151
Anderson|Monroe 365/3-6|03,45
Anderson|Ozark 479/2-5|02,65
Anderson|Ozark 479/3-6|03,63
Anderson|Putnam|01,237
Anderson|Reeder 287/3-6|01,13
Anderson|Reeder 365/1-4|02,202
Anderson|Rich|01,208
Anderson|Walker 365/1-4|01,293
Anderson|Washington|01,218
Anderson|Welda 365/3-6|02,207
Anderson|Welda 479/2-5|03,4
Anderson|Welda 479/3-6|04,8
Anderson|Westphalia 365/1-4|01,143
Anderson|Westphalia City|01,92
Atchison|Benton 338|01,11
Atchison|Benton 339 H63|02,37
Atchison|Benton 339|02,5
Atchison|Benton 377 H63|01,124
Atchison|Benton 377|03,161
Atchison|Center 339|01,50
Atchison|Center 377|02,395
Atchison|East Second 409|01,554
Atchison|East Third 409|01,1162
Atchison|Effingham City 377|01,352
Atchison|Grasshopper 377 3-6|04,53
Atchison|Grasshopper 377|02,201
Atchison|Grasshopper 430 2-5|05,4
Atchison|Grasshopper 430 3-6|06,24
Atchison|Huron 377|01,128
Atchison|Huron City 377|01,46
Atchison|Kapioma 338|01,2
Atchison|Kapioma 377|02,193
Atchison|Lancaster 377|01,257
Atchison|Lancaster City 377|01,203
Atchison|Mt Pleasant 377|01,606
Atchison|Mt Pleasant 409|02,121
Atchison|Muscotah City 377|01,112
Atchison|North Fifth 409|01,1183
Atchison|Only First 409|01,592
Atchison|Only Fourth 409|01,830
Atchison|Shannon 377|01,235
Atchison|Shannon 409|02,802
Atchison|South Fifth 409|01,712
Atchison|Walnut 377|01,135
Atchison|Walnut 409|02,225
Atchison|Walnut 449|03,2
Atchison|Walnut Enclave 409|01,6
Atchison|West Second 409|01,845
Atchison|West Third 409|01,1656
