polling_place_text_name,Count
Canton Community Center,735
Capitol Cty Comm Ch God,2183
Carbondale Community Bldg,1864
Carlton City Bldg,444
Cassoday Community Church,432
Castleton Township Hall,238
Catholic Parish Center,2356
Cawker City Clerk's Office,386
Cedar Creek Swim and Racquet Club,2567
Cedar Roe Library,1679
Celebration Centre,2666
Center Bethel Church,594
Center Christian Church,467
CenterPointe Community Church,3187
Centerville Comm. Bldg.,360
Central Christian Church,11429
Central Park Comm Ctr,1650
Central Resource Library,7624
Centralia Area Comm Bldg - Centralia-Home,273
Centralia Area Comm Bldg - Centralia-Illinois,45
Centralia Area Comm Bldg - Home,109
Centralia Area Comm Bldg - Neuchatel,82
Centropolis Township Hall,375
Ch of Jesus Christ LDS,2380
Chapel Oaks SDA Church,6727
Chase County Community Building,1873
Chase Senior Center,567
Cheney Baptist Church,2427
Cherokee Snr Ctr,829
Cherokee Twp Hall (formally Clymore School),284
Cherry Street Wesleyan Church,2569
Chicopee Community Center,1333
Chisholm Trail Church of Christ,3317
Christ Community Church Leawood,2445
Christ Community Church of the Nazarene,2395
Christ Community Church Olathe,3281
Christ Luth Ch,1358
Christ Lutheran Church,1904
Christian Church (Sedgwick),1176
Church of Christ Hall,5699
Church of Christ Rural,1845
Church of Jesus Christ of LDS,2596
Church Of The Harvest,1519
Church of the Magdalen,3248
Church Of The Nazarene,2649
Church of The Open Door,4544
Church of the Resurrection Leawood,3880
Church of the Resurrection West,4470
Cimarron 1 4-H Bldg,457
Cimarron 2 4-H Bldg,1287
Circle Grove School,1085
Circleville Christian Church,382
Citizen Potawatomi,1228
City Center Church,4887
City of Satanta Community Building,872
Civic Center - Precinct 4,779
Civic Center - Ward 1,703
Civic Center - Ward 2,1111
Civic Center - Ward 3,1225
Civic Connection,656
Clearwater Methodist Church,3357
Clifton American Legion,206
Clyde City Hall,647
Codell High School Building,119
Colby Event Center,5445
College Ave United Methodist,3273
College Church of the Nazarene,4326
Colonial Heights Church,4972
Colony City Hall,525
Columbian Hall 1,1434
Columbian Hall 2,19
Columbian Hall 3,17
Columbus Community Bldg,2194
Colwich Elementary School,1820
Community Bible Church,3501
Community Bldg - Baxter Springs,3579
Community Building,1758
"Community Building, Bushton",296
Community Center,721
Community Center Building,3903
Community Christian Church,5392
"Community Christian Church - Twp 1, Pct 1",230
"Community Christian Church - Twp 1, Pct 2",150
Community Christian Church - Twp 2,542
Community Christian Church - Ward 1,436
Community Christian Church - Ward 2,386
Community Christian Church - Ward 3,645
Community Covenant Church,4163
Concordia Elementary School Gym,3944
Congregation Beth Torah,3000
Copeland/GY Amb Bldg,229
Corinth Library,3089
Cornerstone Christian Church,370
Cornerstone Comm Ch,2633
Cornerstone Presbyterian Church,2690
Corning Comm Bldg- Red Vermillion,88
Corning Comm Bldg - Corning City,144
Corning Comm Bldg - Illinois,167
Country Acres Baptist,4769
Countryside Baptist Church,4623
Countryside Church Hall,4401
County Courthouse,1398
County Extension Office,3073
Courthouse-Election Day,1816
Courthouse-Mankato,1089
Courthouse Annex,3876
Courthouse Bsemnt Meeting,1733
Courthouse Lobby-Ctr 1- 05.01/05.06,446
Courthouse Lobby-Ctr 2-06.01/06.08,96
Courthouse Lobby-Highland 3-09.01/09.02,83
Courtland Comm. Center,540
Covenant Presbyterian Church,4997
Crestview Christian Church,3925
Crosspoint Ch,1526
CrossRoads Ch,1475
Crossroads Christian Church,4876
Crystalbrook Church 1st Pct 3rd Ward,494
Crystalbrook Church 1st Pct 4th Ward,523
Crystalbrook Church 2nd Pct 3rd Ward,279
Crystalbrook Church Indep. City 1st Pct 2nd Ward,248
Crystalbrook Church Indep. City 2nd Pct 2nd Ward,224
Crystalbrook Church Indep. City 2nd Pct 4th Ward,400
CS Methodist Fellowship Hall,1868
Cuba Comm. Center,392
Culver United Methodist Church,156
Cummings Christian Church,445
Cunningham Community Center,566
Cure of Ars Catholic Church,4453
Cutler Township Community Building,626
Damar Community Center,151
De Soto Community Center,1324
Deerfield Community Center,531
Delavan Community Bldg - Twp 7,172
Delavan Community Bldg - Twp 8,131
Delavan Community Bldg - Twp 9,239
Delaware Township Hall,1318
Delia Community Bldg,520
Delphos Senior Center,386
Denison Community Bldg,441
Derby Library,4108
Dexter City Building,402
