cde_name_title,Count
,2000930
1sg,1
Aic,30
Capt,8
Dr,16
Et2,7
Fr,4
Lt,7
Miss,72
Mr,131
Mrs,90
Ms,73
Pfc,6
Rev,9
Sgt,10
Spl,1
Sr,32
Ssg,4
