commissioner,Count
Reno-CC0001,9327
Reno-CC0002,7810
Reno-CC0003,9328
Reno-CC0004,9088
Reno-CC0005,7386
Republic-CC1,1230
Republic-CC2,1069
Republic-CC3,1242
Rice-CC01,1965
Rice-CC02,2291
Rice-CC03,2314
Riley-CC001,12915
Riley-CC002,11993
Riley-CC003,14279
Rooks-CC0001,1278
Rooks-CC0002,1184
Rooks-CC0003,1242
Rush-CC0001,934
Rush-CC0002,699
Rush-CC0003,594
Russell-CC1,861
Russell-CC2,991
Russell-CC3,939
Russell-CC4,835
Russell-CC5,941
Saline-CC1,7266
Saline-CC2,8756
Saline-CC3,7728
Saline-CC4,7044
Saline-CC5,6832
Scott-CC0001,1116
Scott-CC0002,1026
Scott-CC0003,1369
Sedgwick-CC1,74592
Sedgwick-CC2,61468
Sedgwick-CC3,76741
Sedgwick-CC4,64688
Sedgwick-CC5,64428
Seward-CC0001,1833
Seward-CC0002,1929
Seward-CC0003,2279
Seward-CC0004,2309
Seward-CC0005,2976
Shawnee-CC1,40664
Shawnee-CC2,32910
Shawnee-CC3,41814
Sheridan-CC0001,765
Sheridan-CC0002,598
Sheridan-CC0003,475
Sherman-CC01,1283
Sherman-CC02,1431
Sherman-CC03,1040
Smith-CC0001,971
Smith-CC0002,965
Smith-CC0003,911
Stafford-CC01,881
Stafford-CC02,847
Stafford-CC03,940
Stanton-CC1,328
Stanton-CC2,440
Stanton-CC3,302
Stevens-CC1,989
Stevens-CC2,1133
Stevens-CC3,1250
Sumner-CC0001,6117
Sumner-CC0002,5565
Sumner-CC0003,5638
Thomas-CC1,1653
Thomas-CC2,2158
Thomas-CC3,1634
Trego-CC0001,718
Trego-CC0002,691
Trego-CC0003,649
Wabaunsee-CC01,1723
Wabaunsee-CC02,1533
Wabaunsee-CC03,2125
Wallace-CCWA1,443
Wallace-CCWA2,314
Wallace-CCWA3,362
Washington-CC0001,1324
Washington-CC0002,1182
Washington-CC0003,1139
Wichita-CC0001,425
Wichita-CC0002,530
Wichita-CC0003,275
Wilson-CC0001,1589
Wilson-CC0002,1835
Wilson-CC0003,1610
Woodson-CC0001,565
Woodson-CC0002,900
Woodson-CC0003,759
Wyandotte-CC1,11215
Wyandotte-CC2,7569
Wyandotte-CC3,11100
Wyandotte-CC4,8561
Wyandotte-CC5,15971
Wyandotte-CC6,11739
Wyandotte-CC7,14030
Wyandotte-CC8,12342
