text_phone_exchange,Count
,506164
0,1
000,157845
002,1
005,1
007,1
008,1
009,1
010,1
012,1
013,2
014,1
015,2
018,1
019,2
020,7
021,11
022,11
023,1
024,2
025,5
026,2
027,2
028,9
029,3
030,3
031,4
033,3
034,20
035,2
036,4
037,2
038,5
039,3
040,3
041,10
042,3
043,12
044,1
045,2
046,1
047,3
048,4
049,4
050,1
052,1
054,2
055,1
056,2
058,4
059,6
060,2
061,15
063,7
064,2
065,1
066,2
067,1
068,3
069,4
070,2
071,3
072,3
075,12
076,1
077,3
078,4
079,19
08,1
080,5
082,1
083,1
084,2
086,1
088,2
089,1
091,2
092,1
093,2
094,1
095,1
096,4
099,1
101,3
102,3
105,1
107,1
109,3
11,1
110,2
111,2
112,1
114,1
116,2
117,1
118,2
119,2
121,4
122,3
123,6
124,2
125,5
126,3
130,3
131,1
132,4
133,1
135,2
136,1
137,1
139,1
140,2
141,1
143,3
144,1
146,1
148,1
149,2
150,3
151,3
153,1
155,1
160,3
161,1
162,1
163,1
164,1
165,1
166,4
167,2
168,1
170,1
173,1
174,2
175,2
176,2
177,1
178,1
179,1
181,1
182,1
184,1
187,1
188,1
189,1
190,1
191,2
192,1
194,2
197,2
199,2
200,6984
201,2922
202,2559
203,2152
204,4058
205,3469
206,2864
207,5527
208,2981
209,4229
210,4870
211,8
212,4150
213,5636
214,5420
215,5932
216,1339
217,4781
218,7328
219,2849
220,4543
221,6421
222,2468
223,4406
224,3980
225,2539
226,4294
227,3477
228,2714
229,1371
230,3612
231,4625
232,2936
233,1433
234,1013
235,2066
236,2332
237,920
238,4396
239,2055
24,2
240,2308
241,3129
242,3167
243,2862
244,3320
245,1564
246,1090
247,306
248,2329
249,7429
25,1
250,5652
251,2975
252,1980
253,5098
254,996
255,3067
256,1726
257,1655
258,3649
259,6533
260,3364
261,830
262,4033
263,3188
264,1193
265,1781
266,1334
267,1971
268,3203
269,3005
270,303
271,3401
272,2031
273,1252
274,1135
275,1332
276,862
277,1223
278,1224
279,559
280,2614
281,1302
282,4353
283,3320
284,3310
285,4204
286,1795
287,2349
288,2744
289,1529
290,2870
291,1241
292,1179
293,2463
294,2306
295,2017
296,1046
297,506
298,607
299,3090
30,1
300,2292
301,548
302,3417
303,1934
304,5139
305,4214
306,2192
307,2725
308,2771
309,2312
310,597
311,4
312,3835
313,3672
314,3108
315,957
316,309
317,2650
318,552
319,520
320,1534
321,2466
322,2087
323,3133
324,1292
325,1950
326,2133
327,1346
328,774
329,519
330,2204
331,3996
332,1831
333,2073
334,2363
335,837
336,2124
337,1454
338,2891
339,2739
340,1712
341,5326
342,4914
343,1799
344,1218
345,1914
346,1305
347,1939
348,405
349,586
350,1223
351,1361
352,1244
353,1398
354,568
355,843
356,1052
357,822
358,639
359,492
360,1232
361,625
362,1827
363,2170
364,3678
365,1933
366,1997
367,2796
368,753
369,1087
370,2537
371,4081
372,617
373,360
374,618
375,4303
376,1375
377,907
378,2140
379,755
380,793
