polling_place_text_address3,Count
,1895882
235 Main St,479
520 Washington St,152
92 S Oak,343
920 Lincoln,836
Back Door,3934
Back Lower North Door,665
East Door,732
East Door on Rowley Lane,1426
East Entrance,917
East Main Door,2380
East Side Center Door,1497
East Side Door,2326
East Side Lower Door,1105
East Side North Door,1291
East Side South Door,2183
Family Life Center Door,1618
Fellowship Hall Front Door,1077
Front Door,21238
Front Door Clubhouse,1438
Front Door South Side,1526
Front North Door,1524
Main Door,7108
Main Door North Side,863
Main Entrance,5203
Main North Entrance,1127
Main West Entrance,1281
Mulvane Bldg South Door,936
North Door,949
North Door near Gym,1515
North Door Near Gym,1446
North Main Door,991
North Side East End,473
Northwest Mall Lower Level,2143
NW Door to Media Room,1451
SE Multipurpose Door,1165
South Lower Entrance,1330
South Side Door,732
South Side West Door,570
Southwest Door,1650
West Door,5368
West Front Door,2633
West Gym Door,842
West Mall Entrance,1989
West Side Center Door,2313
West Side Door,4204
West Side Entrance,2182
West Side North Door,1872
West Side South Door,4526
