district_jd,Count
,669540
JD0001,68674
JD0002,47564
JD0004,43817
JD0005,22322
JD0006,46433
JD0007,80761
JD0008,47323
JD0009,42407
JD0011,57348
JD0012,21660
JD0013,56073
JD0014,23696
JD0015,18140
JD0016,27461
JD0017,16833
JD0018,341917
JD0019,20511
JD0020,34704
JD0021,45245
JD0022,26416
JD0023,28238
JD0024,12432
JD0025,30119
JD0026,23828
JD0027,42939
JD0028,41567
JD0029,87
JD0030,35415
JD0031,27961
