district_pt,Count
 ,1454271
PT0,2668
"PT0,PT001,PT002,PT003,PT004",5922
"PT0,PT005,PT006,PT007,PT008",3410
"PT0,PT009,PT010,PT011,PT012",2099
"PT0,PT013,PT014,PT015,PT016",1699
"PT0,PT017,PT018,PT019,PT020",1230
"PT0,PT021,PT022,PT023,PT024",1846
"PT0,PT025,PT026,PT027,PT028",1651
"PT0,PT029,PT030,PT031,PT032",1423
"PT0,PT033,PT034,PT035,PT036",2643
"PT0,PT041,PT042,PT043,PT044",3662
"PT0,PT053,PT054,PT055,PT056",697
"PT0,PT065,PT066,PT067,PT068",1755
"PT0,PT077,PT078,PT079,PT080",3130
"PT0,PT081,PT082,PT083,PT084",1977
"PT0,PT085,PT086,PT087,PT088",741
"PT0,PT089,PT090,PT091,PT092",1938
"PT0,PT093,PT094,PT095,PT096",312
"PT0,PT097,PT098,PT099,PT100",391
"PT0,PT101,PT102,PT103,PT104",257
"PT0,PT105,PT106,PT107,PT108",297
"PT0,PT109,PT110,PT111,PT112",228
"PT0,PT113,PT114,PT115,PT116",204
"PT0,PT117,PT118,PT119,PT120",58
"PT0,PT121,PT122,PT123,PT124",127
"PT0,PT125,PT126,PT127,PT128",389
"PT0,PT129,PT130,PT131,PT132",367
"PT0,PT133,PT134,PT135,PT136",407
"PT0,PT137,PT138,PT139,PT140",142
"PT0,PT141,PT142,PT143,PT144",69
"PT0,PT145,PT146,PT147,PT148",215
"PT0,PT149,PT150,PT151,PT152",675
"PT0,PT153,PT154,PT155,PT156",101
"PT0,PT157,PT158,PT159,PT160",538
"PT0,PT161,PT162,PT163,PT164",1976
"PT0,PT165,PT166,PT167,PT168",892
"PT0,PT169,PT170,PT171,PT172",421
"PT0,PT173,PT174,PT175,PT176",878
"PT0,PT177,PT178,PT179,PT180",445
"PT0,PT181,PT182,PT183,PT184",1176
"PT0,PT185,PT186,PT187,PT188",101
"PT0,PT189,PT190,PT191,PT192",588
"PT0,PT193,PT194,PT195,PT196",138
"PT0,PT197,PT198,PT199,PT200",5
"PT0,PT201,PT202,PT203,PT204",1064
"PT0,PT205,PT206,PT207,PT208",430
"PT0,PT209,PT210,PT211,PT212",285
"PT0,PT213,PT214,PT215,PT216",287
