district_sd,Count
,332
"SD0,SD108",10
"SD0,SD200",897
"SD0,SD224",2
"SD0,SD268",500
"SD0,SD311",56
"SD0,SD333",8
"SD0,SD361",12
"SD0,SD459",28
SD0101,69
SD0102,2098
SD0106,28
SD0107,1943
SD0108,1623
SD0109,29
SD0110,1159
SD0111,1546
SD0113,4131
SD0114,2269
SD0115,2966
"SD0115,SD0335",46
SD0205,2
SD0206,482
SD0208,1942
SD0209,19
SD0211,10
SD0212,239
SD0213,2
SD0219,93
SD0220,8
SD0223,1644
SD0224,358
SD0225,572
SD0226,1517
SD0234,10805
SD0235,1764
SD0237,2194
SD0239,2195
SD0240,1587
SD0241,13
SD0245,31
SD0248,2
SD0254,42
SD0258,35
SD0262,3
SD0263,2080
SD0264,244
SD0267,416
SD0269,521
SD0270,1695
SD0271,1457
SD0272,1866
SD0273,3362
SD0274,1611
SD0275,300
SD0282,1744
SD0283,359
SD0284,2
SD0285,44
SD0286,1556
SD0287,13
SD0291,95
SD0292,42
SD0293,33
SD0294,1894
SD0298,12
SD0299,122
SD0300,1133
SD0306,22
SD0307,45
SD0308,21465
SD0309,5203
SD0310,1560
SD0311,1146
SD0312,3133
SD0313,9961
SD0316,252
SD0321,554
SD0322,103
SD0325,2571
SD0326,662
SD0327,2492
SD0329,1
SD0331,303
SD0332,33
SD0333,4
SD0334,35
SD0335,1783
SD0336,4166
SD0337,3208
SD0338,40
SD0339,92
SD0340,60
SD0344,1537
SD0346,2673
SD0347,1337
SD0349,2
SD0351,212
SD0353,6788
SD0356,1615
SD0357,2476
SD0358,1403
SD0359,710
SD0360,1108
SD0362,3741
SD0364,3791
SD0365,4846
SD0366,1870
SD0369,830
SD0371,618
SD0373,14886
SD0374,21
SD0376,112
SD0377,3207
SD0378,12
SD0379,14
SD0380,2224
SD0381,894
SD0382,5044
SD0383,31
SD0384,2
SD0386,912
SD0387,1001
SD0388,87
SD0389,2963
SD0390,389
SD0392,1499
SD0393,1163
SD0395,1529
SD0396,36
SD0397,787
SD0398,1280
SD0399,334
SD0400,3901
SD0403,688
SD0408,2618
SD0409,8688
SD0410,2675
SD0411,1128
SD0412,1542
SD0415,4070
SD0417,139
SD0418,10195
SD0419,1566
SD0422,1009
SD0423,2063
SD0426,15
SD0429,1300
SD0430,2173
SD0435,6228
SD0436,194
SD0438,607
SD0439,1169
SD0440,2092
SD0443,14815
SD0444,244
SD0446,2
SD0448,1736
SD0449,2
SD0459,847
SD0460,3142
SD0461,1806
SD0462,1155
SD0463,1441
SD0465,8607
SD0466,3526
SD0467,1247
SD0468,170
SD0470,8991
SD0471,393
SD0473,4661
SD0474,528
SD0475,20277
SD0476,245
SD0477,534
SD0479,986
SD0480,10438
SD0481,768
SD0482,966
SD0483,1748
SD0484,2451
SD0487,1798
SD0492,3
SD0495,3483
SD0496,421
SD0498,1506
SD0502,432
SD0507,34
SD0509,640
"SD1,SD109",3
"SD1,SD109,SD4",811
"SD1,SD270",34
"SD1,SD284",580
"SD1,SD299",446
"SD1,SD331",13
"SD1,SD332",167
"SD1,SD388",1891
"SD1,SD397",139
"SD1,SD399",10
"SD1,SD407",2
"SD1,SD417",1837
"SD1,SD426",282
"SD1,SD432",1369
"SD1,SD481",675
"SD1,SD489",16535
"SD1,SD494",443
SD101,2626
SD102,82
SD103,779
SD105,1700
SD106,797
SD109,2
"SD109,SD2,SD5",976
"SD109,SD3,SD6",898
SD112,2410
"SD112,SD2",179
"SD14,SD363",641
"SD2,SD284",574
"SD2,SD417",1240
"SD2,SD426",279
"SD2,SD481",3
"SD2,SD494",370
SD202,10899
SD203,10929
SD204,10222
SD205,2844
SD206,2172
SD207,1607
SD208,4
SD209,362
"SD209,SD210",836
SD210,2185
SD211,2992
SD212,394
SD213,33
SD214,3791
SD215,1700
SD216,541
SD217,460
SD218,1570
SD219,651
SD220,875
SD224,918
SD227,906
SD228,340
SD229,104696
SD230,16738
SD231,19430
SD232,29823
SD233,118554
SD235,5
SD239,30
SD240,125
SD241,875
SD242,231
SD243,2029
SD244,3033
SD245,1131
SD24614,943
SD24625,1156
SD24636,1116
SD247,1146
SD24714,611
SD24725,964
SD24736,592
SD248,45
SD24814,1479
SD24825,1267
SD24836,1277
SD249,3080
"SD25,SD363",712
SD250,15461
SD251,2363
SD252,2078
SD253,15950
SD254,1932
SD255,916
SD256,1122
SD257,5778
SD258,1980
SD259,200693
SD260,25116
SD261,15430
SD262,11641
SD263,5256
SD264,4015
SD265,23369
SD266,31737
SD267,6542
SD268,2110
SD269,45
"SD269,SD3",11
SD273,12
SD274,260
SD275,50
SD281,1721
SD283,138
SD284,29
"SD284,SD3",701
SD285,491
SD287,3675
SD288,2176
SD289,3736
SD290,10776
SD291,332
SD292,618
SD293,940
SD294,34
