district_sd,Count
SD297,1525
SD298,1560
SD299,547
"SD3,SD300",13
"SD3,SD426",272
"SD3,SD494",537
SD303,1150
SD305,32967
SD306,2391
SD307,1269
SD309,117
SD310,10
SD311,8
SD312,641
SD314,451
SD315,4572
SD316,234
SD320,6001
SD321,4965
SD322,1311
SD323,4410
SD326,52
SD327,207
SD329,2832
SD33,131
SD330,2332
SD331,4001
"SD331,SD5",95
"SD331,SD6",41
SD332,734
SD333,4285
SD334,869
SD336,7
SD338,1566
SD339,1537
SD340,3811
SD341,2739
SD342,2612
SD343,4945
SD345,15094
SD347,11
SD348,6395
SD349,864
SD350,1209
SD351,506
SD352,3695
SD355,1942
SD356,221
SD359,33
"SD36,SD363",482
SD361,3279
SD362,831
SD365,121
SD367,4079
SD368,9182
SD369,32
SD372,2474
SD374,1277
SD375,8656
SD376,1987
SD377,2
SD378,3567
SD379,5840
SD381,16
SD383,36831
SD384,1280
SD385,22466
SD386,66
SD389,2
SD393,288
SD394,6483
SD395,9
SD396,2445
SD397,9
SD398,137
SD399,160
SD400,586
SD401,545
SD402,8622
SD403,309
SD404,2994
SD405,2571
SD407,3777
SD412,3
SD413,7710
SD416,7611
SD417,402
SD42,2846
SD421,2158
SD428,11074
SD431,2528
SD432,2
SD434,4744
SD436,2668
SD437,25994
SD438,54
SD439,275
SD440,885
SD443,5
SD444,820
SD445,7594
SD446,8742
SD447,2690
SD448,18
SD449,2846
SD45,46
SD450,15286
SD452,1074
SD453,19377
SD454,1295
SD456,860
SD457,18979
SD458,12391
SD459,3
SD461,149
SD462,19
SD464,8847
SD468,13
SD469,10362
SD475,1749
SD476,70
SD479,41
SD482,9
SD484,22
SD487,127
SD489,693
SD490,8636
SD491,5548
SD492,1045
SD493,5187
SD495,333
SD496,8
SD497,66114
SD498,13
SD499,2715
SD500,60647
SD501,54470
SD503,6028
SD504,1371
SD505,1814
SD506,5282
SD507,877
SD508,3632
SD511,517
SD512,175752
