district_ks,Count
KS0001,52336
KS0002,45530
KS0003,55628
KS0004,37455
KS0005,50970
KS0006,38365
KS0007,60899
KS0008,56332
KS0009,56030
KS0010,60499
KS0011,60076
KS0012,52523
KS0013,56381
KS0014,51095
KS0015,50998
KS0016,58795
KS0017,45543
KS0018,53705
KS0019,42037
KS0020,51654
KS0021,52286
KS0022,39187
KS0023,49834
KS0024,51555
KS0025,40555
KS0026,51974
KS0027,52695
KS0028,41590
KS0029,39788
KS0030,50664
KS0031,52177
KS0032,51059
KS0033,48554
KS0034,51417
KS0035,56717
KS0036,51642
KS0037,50676
KS0038,39624
KS0039,41547
KS0040,51039
