cde_mail_state,Count
,1855268
AA,1
AE,65
AK,24
AL,83
AP,24
AR,287
AZ,263
CA,573
CO,512
CT,35
DC,86
DE,12
FL,282
GA,200
HI,80
IA,158
ID,45
IL,363
IN,158
KS,136294
KY,56
LA,84
MA,136
MD,138
ME,10
MI,84
MN,102
MO,1917
MS,38
MT,36
NC,222
ND,32
NE,495
NH,11
NJ,61
NM,67
NV,50
NY,344
OH,104
OK,612
OR,76
PA,80
PR,3
RI,18
SC,91
SD,50
TN,149
TX,770
UT,132
VA,326
VI,2
VT,13
WA,189
WI,62
WV,26
WY,32
