district_cc,Count
 ,295
CC0001,106745
CC0002,105001
CC0003,104489
CC0004,15165
CC0005,13061
CC001,31412
CC002,24481
CC003,31920
CC004,16088
CC005,16208
CC01,62377
"CC01,CC03",566
CC02,59273
"CC02,CC03",331
CC03,58024
CC04,27620
CC05,31146
CC1,282164
CC2,259068
CC3,286639
CC4,170985
CC5,174156
CC6,81068
CC7,14030
CC8,12342
CCCK1,5351
CCCK2,5000
CCCK3,5307
CCWA1,443
CCWA2,314
CCWA3,362
