text_res_zip5,Count
66002,9738
66006,5728
66007,8390
66008,170
66010,438
66012,7206
66013,2467
66014,327
66015,624
66016,421
66017,219
66018,4785
66020,1307
66021,1905
66023,780
66024,669
66025,5741
66026,487
66027,1585
66029,1
66030,17144
66032,3675
66033,556
66035,681
66036,3
66038,2
66039,499
66040,2894
66041,538
66042,570
66043,6860
66044,16371
66045,398
66046,12713
66047,13876
66048,25189
66049,25050
66050,1372
66052,1723
66053,6531
66054,2221
66056,1411
66058,257
66060,760
66061,46064
66062,56160
66064,3705
66066,1970
66067,11944
66070,1976
66071,9629
66072,785
66073,1811
66075,1624
66076,1603
66078,724
66079,613
66080,749
66083,9891
66085,8961
66086,8387
66087,1418
66088,1693
66090,1585
66091,249
66092,3205
66093,376
66094,295
66095,694
66097,756
66101,5526
66102,12620
66103,7247
66104,14752
66105,890
66106,12880
66109,19014
66111,5666
66112,7934
66113,787
66115,2
66118,10
66202,13022
66203,13960
66204,13177
66205,11218
66206,9290
66207,12429
66208,18385
66209,16775
66210,14370
66211,4667
66212,23396
66213,23341
66214,8358
66215,18912
66216,19742
66217,4287
66218,7222
66219,10314
66220,7296
66221,19787
66223,17223
66224,11712
66226,11529
66227,8485
66401,1363
66402,2204
66403,565
66404,376
66406,274
66407,374
66408,337
66409,2614
66411,830
66412,209
66413,1417
66414,2102
66415,631
66416,353
66417,299
66418,461
66419,278
66422,339
66423,646
66424,418
66425,332
66427,981
66428,276
66429,437
66431,477
66432,292
66434,3379
66436,4022
66438,234
66439,1728
66440,1479
66441,17285
66442,4040
66449,574
66451,1448
66501,210
66502,25640
66503,12367
66506,404
66507,1025
66508,3002
66509,1776
66510,596
66512,2562
66514,1321
66515,316
66516,264
66517,951
66518,104
66520,501
66521,1090
66522,26
66523,2948
66524,2042
66526,604
66527,148
66528,673
66531,1002
66532,407
66533,1182
66534,2578
66535,2343
66536,2935
66537,1080
66538,2514
66539,2051
66540,369
66541,171
66542,2698
66543,622
66544,264
66545,14
66546,883
66547,6407
66548,685
66549,1146
66550,373
66552,299
66554,390
66603,646
66604,14620
66605,11615
66606,6869
66607,3753
66608,2746
66609,5043
66610,8171
66611,6404
66612,983
66614,21647
66615,2538
66616,3329
66617,6731
66618,7371
66619,1624
66621,109
66622,1
66701,10593
66710,410
66711,483
66712,1495
66713,4341
66714,107
66716,376
66717,315
66720,7951
66724,757
66725,4046
66727,3
66728,41
66732,178
66733,1606
66734,282
66735,390
66736,2046
66738,284
66739,4166
66740,301
66741,184
66742,342
66743,3293
66746,181
66747,1
66748,1934
66749,5039
66751,473
66753,821
66754,379
66755,741
66756,737
66757,1907
66758,130
66759,15
66760,87
66761,145
66762,17082
66763,2584
66767,368
66769,411
66770,870
66771,693
66772,214
66773,557
