text_election_code_6,Count
,962996
12897,4
22503,2
3204,1
4103,23
4202,1
4291,3
4296,4
4301,10
4495,4
4505,32
4604,1
4693,3
4699,3
51804,16
CG,622
CG0003,16
CG0004,4
CG0005,32
CG0007,24
CG0008,8
CG0009,26
CG0010,190
CG0011,66
CG005,13
CG0104,19
CG012,6
CG0304,25
CG033,13
CG0408,11
CG0410,3
CG0413,4
CG042,3
CG0491,1
CG0495,2
CG0497,7
CG0504,79
CG06,4
CG08,5
CG1019,9
CG1024,1
CG1030,5
CG1068,1
CG11,26
CG1179,3
CG12,16
CG13,21
CG1319,4
CG14,66
CG15,92
CG1520,9
CG16,12
CG19,125
CG1974,1
CG1987,3
CG1989,10
CG1990,1
CG1991,16
CG1993,68
CG1994,23
CG1995,71
CG1996,6
CG1997,125
CG1998,11
CG1999,118
CG20,1
CG2000,8
CG2001,248
CG2002,8
CG2003,504
CG2004,52
CG2005,1888
CG2006,78
CG2007,1416
CG2008,80
CG2009,1732
CG2010,130
CG2011,1973
CG2012,142
CG2013,2510
CG2014,194
CG2015,4595
CG2016,87
CG2017,10606
CG2019,35198
CG2021,80598
CG2023,512
CG21,1529
CG21A,411
CG2209,1
CG2250,25
CG2259,15
CG2260,4
CG2269,3
CG2270,14
CG2279,3
CG2288,4
CG2289,14
CG2290,4
CG2299,2
CG3105,46
CG3183,1
CG3204,8
CG3210,1
CG3293,10
CG3299,24
CG3387,2
CG3398,2
CG3904,1
CG400,4
CG401,6
CG403,7
CG404,3
CG405,45
CG4103,276
CG4119,2
CG4197,98
CG4202,16
CG4285,1
CG4290,1
CG4291,26
CG4296,8
CG4301,152
CG4390,1
CG4400,36
CG4489,6
CG4495,47
CG4505,816
CG4583,1
CG4594,4
CG4604,23
CG4693,32
CG4699,123
CG4787,5
CG4792,19
CG4798,15
CG48,18
CG496,3
CG497,4
CG498,5
CG499,1
CG510,16
CG5149,1
CG5404,1
CG5702,6
CG5704,9
CG6139,4
CG6219,1
CG6290,5
CG6496,3
CG6705,16
CG7139,3
CG7189,3
CG8169,1
CG8249,1
CG8288,2
CG9104,1
CG9149,4
CG9304,3
CG9504,2
CG956,13
CG9604,1
CG964,5
CG9702,1
CG9704,21
CG973,12
CG9804,1
CG985,4
CG9904,13
CG993,21
CGAP,49
CGCE06,2
CGCG,8
CGCG10,7
CGFR,6
CGHB06,3
CGHE08,1
CGHL06,1
CGLC14,1
CGNE,3
CGS,112
CGS06,11
CGS103,1
CGSP06,1
CGST08,1
CP,1
CP0002,5
CP0004,2
CP0005,12
CP0006,3
CP0007,4
CP0008,17
CP0009,11
CP0010,88
CP0102,4
CP0297,2
CP0302,4
CP0393,1
CP0408,11
CP07,6
CP09,5
CP15,3
CP17,12
CP1976,1
CP1987,1
CP1989,4
CP1991,3
CP1992,1
CP1993,2
CP1995,13
CP1997,30
CP1998,3
CP1999,38
CP2000,4
CP2001,38
CP2003,218
CP2004,1
CP2005,196
CP2006,18
CP2007,305
CP2008,5
CP2009,151
CP2010,46
CP2011,163
CP2012,13
CP2013,203
CP2014,2
CP2015,478
CP2016,10
CP2017,1191
CP2019,2403
CP2021,10850
CP2023,7326
CP203,3
CP287,3
CP305,1
CP399,1
CP9204,1
CP9702,3
CP9903,1
CPCH07,2
CPCP06,1
CPG 21,122
CPHE06,1
CPMN06,3
CPMN08,1
CPNC15,5
CPST08,2
GN1129,1
GN1149,6
GN1160,18
GN1180,13
GN1982,1
GN1984,17
GN1986,62
GN1988,219
GN1990,215
GN1992,1482
GN1994,702
GN1996,3135
GN1998,1410
GN2000,6061
GN2002,3239
GN2004,14955
GN2006,6764
GN2007,1
GN2008,28795
GN2010,13202
GN2012,42901
GN2014,33304
GN2016,97629
GN2018,121340
GN2020,139976
GN2022,35527
GN4197,14
GN4202,4
GN4291,2
GN4301,18
GN4495,5
GN4693,7
GN4699,24
GN4798,3
MB#383,230
MB/SP,13
MB/WC,10
MB0108,260
MB0110,27
MB0112,461
MB0114,2
MB0115,358
MB0116,292
MB0120,2483
MB0121,7948
MB0123,1850
MB0211,19
MB0215,34
MB0216,139
MB0219,13
MB0315,71
MB0320,116
MB0322,4543
MB0412,1432
MB0414,367
MB0416,23
MB0423,2257
MB0506,58
MB0508,69
MB0513,10
MB0516,107
MB0517,842
MB0518,2216
MB0519,1954
MB0607,29
MB0611,54
MB0613,624
MB0615,119
MB0616,813
MB0618,283
MB0619,234
MB0622,345
MB0623,927
MB0711,14
MB0719,66
MB0807,13
MB0823,311
MB0830,23
MB0907,95
MB0915,92
MB0916,235
MB0917,116
MB0918,952
MB0919,1274
MB0921,265
MB0922,240
MB1007,274
MB1013,593
MB109,4
MB1107,101
MB1109,6
MB1113,575
MB1205,363
MB1211,34
MB1213,31
MB1301,32
MB1302,85
MB1501,97
MB15B,9
MB1601,56
MB17,316
MB1701,157
MB17LA,110
MB1901,216
MB1995,16
MB1999,1
MB2005,16
MB2006,60
MB2007,199
MB2008,68
MB2009,236
MB2010,44
MB2011,26
MB2012,57
MB2013,274
MB2014,503
MB2015,1294
MB2016,555
MB2017,309
MB2018,253
MB2019,952
MB2020,1006
MB2022,391
MB229,597
MB231,121
MB232,191
MB233,688
MB240,1
MB242,4
MB263,30
MB274,2
MB293,13
MB305,507
MB3408,55
MB360,11
MB368,104
MB383,17
MB394,44
MB396,31
MB398,2
MB402,183
MB415,5
MB416,81
MB437,292
MB4604,18
MB464,77
MB468,2
MB490,111
MB501,453
MB509,4
MB5116,162
MB512,1001
MB5398,15
MB5410,52
MB5411,23
MB6115,404
MB615,62
MB6215,69
MB9410,10
MBAL06,5
MBAU06,18
MBAUG,82
MBBE07,61
MBBE09,18
MBD423,124
MBHD07,13
MBM,1
MBMV06,12
MBOCA,6
MBPC09,19
MBREC,8
MBSB09,11
MBSD07,55
MBSLS,2
MBST06,55
MBST17,26
PP0001,3
PP1992,32
PR0001,9
PR031,2
PR051,3
PR1986,7
PR1988,9
PR1990,61
PR1992,114
PR1994,166
PR1996,469
PR1998,372
PR2000,573
PR2002,643
PR2004,1600
PR2006,739
PR2007,7
PR2008,1705
PR2010,2506
PR2012,3510
PR2014,3198
PR2016,9244
PR2018,26524
PR2020,95607
PR2022,92186
PR2250,25
PR2259,6
PR2260,2
PR2270,11
PR2289,2
PR3105,23
PR3204,1
PR3299,4
PR3398,2
PR4792,1
PR8200,3
PR8229,3
PR8288,2
PR955,2
PR971,4
PR991,3
PRHC06,4
SP,136
SP'16,4
SP 389,125
SP000,20
SP0001,1
SP0002,3
SP0004,3
SP0006,12
SP0007,28
SP0008,1
SP001,27
SP0012,18
SP0014,4
SP002,12
SP0041,2
SP01,14
SP0101,20
SP0103,16
SP0105,1
SP011,24
SP0111,8
SP0112,151
SP012,8
SP0121,6
SP0125,432
SP013,7
SP015,7
SP0197,6
SP02,3
SP0201,2
SP0202,2
SP021,26
SP0212,1
SP0217,3
SP0218,101
SP0219,6
SP0222,9
SP0223,42
SP0285,1
SP0291,2
SP0293,1
SP0296,4
SP0299,4
SP0301,22
SP0302,68
SP0304,9
SP0305,7
SP0306,6
SP031,7
SP0310,1
SP0316,18
SP0319,36
SP033,130
SP034,16
SP0388,18
SP0395,1
SP0400,2
SP0401,2
SP0402,1
SP0403,4
SP0405,48
SP0406,10
SP0408,10
SP041,4
SP0410,58
SP0417,36
SP0419,241
SP0421,159
SP0423,1
SP0425,3
SP043,115
SP0489,68
SP0493,189
SP0499,1
