precinct_part_text_name,Count
000010-Harrison Twp (241),46
000010 - Baxter Sp W1,618
000020-Sharon Springs P1 (241),244
000020-SS Twp P3 (241),35
000020 - Baxter Sp W2,635
000030-Sharon Springs P2 (241),314
000030-SS Twp P4 (241),111
000030-SS Twp P4 (242),2
000030 - Baxter Sp W3,1112
000040-Wallace City (241),35
000040-Wallace Twp (241),70
000040-Wallace Twp (275),13
00004A - Baxter Sp W4,828
000050-Weskan Twp (241),20
000050-Weskan Twp (242),229
"000050 - Cherokee (247, 1-4)",165
"000050 - Cherokee (493, 3-6)",107
000060 - Columbus W1 (1-4),4
000060 - Columbus W1 (2-5),378
000070 - Columbus W2 (1-4),369
000070 - Columbus W2 (2-5),145
000080 - Columbus W3 (1-4),56
000080 - Columbus W3 (2-5),403
000090 - Columbus W4,452
00010A - Columbus W5 (1-4),1
00010A - Columbus W5 (2-5),163
00010A - Columbus W5 (3-6),223
"000110 - Crawford (404, 1-4)",121
"000110 - Crawford (493, 3-6)",372
000120 - Galena W1,594
00013A - Galena W2,495
000140 - Galena W3,695
00015A - Galena W4,438
000170 - Grdn / Lwl (404.1-4),57
000170 - Grdn / Lwl (404.2-5),1046
000170 - Grdn / Lwl (404.3-6),561
"000170 - Grdn / Lwl (508, AL)",64
"00018A - Grdn / StMns(404,1-4)",31
"00018A - Grdn / StMns(404,2-5)",8
"00018A - Grdn / StMns(404,3-6)",291
"00018A - Grdn / StMns(499,AL)",231
"000190 - Lola (493, 1-4)",235
"000200 - Lowell (404, 1-4)",304
"000200 - Lowell (404, 2-5)",23
"000200 - Lowell (499, AL)",228
"000210 - Lyon / Lyon (493,1-4)",277
"000220 - Mineral (247, 1-4)",46
"000220 - Mineral (493, 3-6)",103
"000230 - Nsh / Flknr (493,1-4)",75
"000240 - Nsh / Mlrs (493,1-4)",108
"000240 - Nsh / Mlrs (505,AL)",7
"000250 - Pleasant Vw (247,1-4)",13
"000250 - Pleasant Vw (250, AL)",4
"000250 - Pleasant Vw (493,3-6)",426
"000270 - Ross/Bllvw (247, 2-5)",16
"000270 - Ross/Bllvw (247, 3-6)",6
"000270 - Ross/Bllvw (493, 1-4)",45
"000270 - Ross/Bllvw (493, 3-6)",75
"000280 - Ross/Rslnd (247,2-5)",95
"000280 - Ross/Rslnd (493,3-6)",28
"000280 - Ross/Rslnd (493,3-6)C",67
"000290 - Ross/W Min (247,2-5)",14
"000290 - Ross/W Min (247,3-6)",42
"000290 - Ross/W Min (247,3-6)C",132
"00030A - Salamanca (493, 1-4)",407
"00030A - Salamanca (493, 2-5)",14
000310 - Scammon W1,81
000320 - Scammon W2,117
000330 - Scammon W3,105
"000340 - Shawnee (404, 1-4)",36
"000340 - Shawnee (404, 2-5)",19
"000340 - Shawnee (493, 3-6)",315
"000340 - Shawnee (499, AL)",34
"000350 - Sheridan (247, 3-6)",148
"000350 - Sheridan (493, 1-4)",15
"000360 - SpVly / Ntrl (508,AL)",15
"000360 - SpVly / Ntrl(404,1-4)",471
"000360 - SpVly / Ntrl(493,3-6)",21
"00037A - SpVly / SpVly(404,14)",26
"00037A - SpVly / SpVly(508,AL)",360
001 H W1 P1,689
"001.2 Ward 1, Com 3, BM 1-4",703
002 H W1 P2,824
"002.1 Ward 2, Com 1, BM 3-6",1111
003 H W2 P1,881
"003.1 Ward 3, Com 2, BM 2-5",1225
004 H W2 P2,706
"004.1 Pre 4, Com 3, 209",11
"004.1.01 Pre 4, Com 1, 452",1
"004.1.02 Pre 4, Com 1 BM 3-6",275
"004.2.01 Pre 4, Com 2 BM 2-5",153
"004.3 Pre 4, Com 3, 452",3
"004.4 Pre 4, Com 3, 507",12
"004.5 Pre 4, Com 3, BM 1-4",324
005 H W2 P3,555
006 H W2 P4,629
007 H W2 P5,533
008 H W3 P1,587
009 H W3 P2,913
01,4
01.1,722
01.1 Bunker Hill City CC5 407,86
01.1 Cimarron Twp/C-1/218,45
010 H W3 P3,945
011 H W3 P4,2152
012 H W4 P1,740
013 H W4 P2,1022
014 H W4 P3,741
015 H W4 P4,1384
016 H W4 P5,1139
017 Ellis City,1532
02,1576
02.1,624
02.1 Dorrance City CC5 112,106
02.1 Elkhart/W-2/C-2,200
02.2 Elkhart/W-2/C-3,92
02.3 Elkhart/W-3/C-2,227
02.4 Elkhart/W-3/C-3,188
02.5 Elkhart/W-1/C-2,40
02.6 Elkhart/W-2/C-1,147
02.7 Elkhart/W-1/C-3,378
02.8 Elkhart/W-1/C-1,94
025A.1,60
026.1,209
026B.1,671
028B.1,807
03,2
03.1,843
03.1 Gorham City CC4 407,236
03.1 Jones/C-2/218,8
033.1,846
034.1,690
035.1,597
035.2,75
035B.1,511
038.1,1661
038B.2,391
04,1435
04.1,989
04.1 Lucas City CC3 299,223
04.1 Richfield/C-2/217,32
041.1,1749
042.1,436
042B.1,501
042B.3,1
042B.4,2
043.1,2401
044.1,708
044B.1,434
046.1,1075
046B.1,1249
049.1,1792
049B.1,275
05,1781
05.1,876
05.1 Luray City CC2 299,117
05.1 Richfield East/C-2/217,52
050.2,1682
050B.1,69
050B.2,3
051.1,7
051.2,67
051.3,515
052.3,657
052B.1,66
052B.2,16
052B.4,2
052B.5,5
053.4,716
053B.1,95
053B.2,853
053B.3,50
055.1,223
055B.2,85
056.1,537
056.2,84
056.3,482
056.5,9
056.6,74
056.7,9
056B.8,24
056C.4,90
057.1,238
057.2,372
057.4,30
057B.3,204
057C.5,100
058.1,134
058.2,185
059.3,300
059.5,107
059.6,209
059B.1,73
06,1028
06.1,871
06.1 Paradise City CC2 399,25
06.1 Richfield West/C-2/218,17
06.2 Richfield West/C-2/217,36
060.1,275
060.2,515
060.3,548
061.1,32
061.2,163
061.3,662
061.4,545
061B.5,132
061B.6,160
062.1,174
062.2,223
062.3,132
062.4,227
062.5,667
063.1,121
063B.2,309
063B.3,6
063C.3,569
064.1,44
064.2,162
064.4,65
064B.3,1
065.1,8
065.2,20
065.5,7
065B.1,19
065C.8,3
065D.6,3
065D.7,1
065E.3,32
066.5,391
066B.4,3
066C.1,290
066C.2,3
067.5,27
067A.1,349
067A.2,413
067B.3,366
067C.6,106
069.1,73
069.2,817
069.3,8
07,1926
07.1,335
07.1 Rolla Twp/C-1/217,88
077B.1,699
08,664
08.1,830
