County,Count
Allen,8997
Anderson,5844
Atchison,12024
Barber,2881
Barton,17001
Bourbon,12751
Brown,6722
Butler,49572
Chase,1873
Chautauqua,2316
Cherokee,15658
Cheyenne,2028
Clark,1570
Clay,6058
Cloud,5889
Coffey,6225
Comanche,1127
Cowley,20511
Crawford,27972
Decatur,2036
Dickinson,13929
Doniphan,5091
Douglas,80922
Edwards,1877
Elk,1878
Ellis,20544
Ellsworth,3898
Finney,20890
Ford,16802
Franklin,19431
Geary,21062
Gove,1932
Graham,1816
Grant,3818
Gray,3399
Greeley,897
Greenwood,4623
Hamilton,1350
Harper,3869
Harvey,22941
Haskell,2212
Hodgeman,1292
Jackson,9473
Jefferson,14066
Jewell,2184
Johnson,461256
Kearny,2241
Kingman,5597
Kiowa,1540
Labette,13718
Lane,1138
Leavenworth,56650
Lincoln,2126
Linn,7772
Logan,1950
Lyon,20449
Marion,8300
Marshall,7215
McPherson,19466
Meade,3023
Miami,25910
Mitchell,4275
Montgomery,21380
Morris,4032
Morton,2030
Nemaha,7388
Neosho,11706
Ness,1956
Norton,3462
Osage,12612
Osborne,2641
Ottawa,3941
Pawnee,3942
Phillips,4031
Pottawatomie,18644
Pratt,5748
Rawlins,2006
Reno,42939
Republic,3541
Rice,6570
Riley,39187
Rooks,3704
Rush,2227
Russell,4567
Saline,37626
Scott,3511
Sedgwick,341917
Seward,11326
Shawnee,115388
Sheridan,1838
Sherman,3754
Smith,2847
Stafford,2668
Stanton,1070
Stevens,3372
Sumner,17320
Thomas,5445
Trego,2058
Wabaunsee,5381
Wallace,1119
Washington,3645
Wichita,1230
Wilson,5034
Woodson,2224
Wyandotte,92527
